Sample_title	482N1 shLuciferase rep1	482N1 shLuciferase rep2	482N1 shArntl2 #1 rep1	482N1 shArntl2 #1 rep2	482N1 shArntl2 #2 rep1	482N1 shArntl2 #2 rep2	end
1110038F14Rik	34.48083	38.47018	36.24694	35.7504	27.44115	22.33425	C8orf33
1110051M20Rik	18.69979	21.2983	22.60978	21.41977	14.453539	17.192899	C11orf49
1110059E24Rik	72.365	58.7621	53.9662	53.6042	74.1746	59.591	C9orf85
1110059G10Rik	8.538	7.8898	6.42801	5.75659	6.5111	5.41195	KIAA1143
1190002N15Rik	2.58098	3.81144	13.6036	13.1964	2.44066	4.14833	C3orf58
1190005I06Rik	12.3827	14.2319	7.3267	9.62975	16.8352	24.0996	C16orf74
1190007I07Rik	7.58518	8.010849	9.142995	7.688428	8.66689	10.30946	C12orf73
1500015O10Rik	0.259764	0	0	0	0	0.2459	C2orf40
1600002H07Rik	9.94436	10.6809	10.5157	8.39507	8.757	10.1265	C16orf59
1600002K03Rik	11.3841	12.1652	15.2414	12.1714	10.9187	7.1178	C19orf24
1600012H06Rik	32.83518	34.26052	32.74819	33.08832	37.61984	41.72666	C6orf120
1600014C10Rik	9.491849	10.15284	13.37044	14.923278	7.909275	9.468475	C19orf12
1700001C02Rik	0	0	0	0	0	0	C2orf70
1700001C19Rik	2.81751	2.2982	2.88811	2.783722	2.0479128	2.570069	LOC102723903
1700001L19Rik	0.666781	0.465165	0.135548	0.630158	0.483937	0.754429	C5orf49
1700001O22Rik	1.806995	1.989264	0.2530064	0.337662	2.6059	2.6750671	C9orf50
1700001P01Rik	0.845692	0.924456	0.237546	0	0.55316	0.203449	C17orf98
1700003E16Rik	0.366775	0.49732	0.503319	0.467591	0.639392	0.76992	C2orf81
1700006E09Rik	0	0	0	0	0	0	C17orf105
1700007B14Rik	0	0	0	0	0	0	RP11-526A4.1
1700007G11Rik	0.140328	1.38568	0.316769	0.843027	0.742825	0.95024	C4orf22
1700007K13Rik	0.147105	0	0.16458	0.437827	0	0	C9orf116
1700008O03Rik	0.464401	0.126028	0.256419	0.448177	0	0.192532	C19orf81
1700010I14Rik	0.118891	0.0650013	0.132721	0.0879626	0.147962	0.0565248	C6orf118
1700011H14Rik	0	0	0	0.146722	0	0	C14orf105
1700011L22Rik	0	0	0	0	0	0	C4orf51
1700012B09Rik	111.86	100.637	6.01045	5.98122	90.7783	78.033	C11orf97
1700012P22Rik	0	0	0	0	0	0	C1orf158
1700013F07Rik	0.460876	0.756883	0.518622	1.04243	0.401691	0.224912	C1orf194
1700015F17Rik	0.196018	0	0.668418	0.58889	0	0.190753	LOC102723899
1700016C15Rik	14.7404	12.3171	9.40971	7.19648	9.26115	5.86782	C1orf100
1700016H13Rik	0.342993	0.513268	0.383942	0	0.351563	0.656795	C4orf36
1700016K19Rik	0	0	1.68657	1.37448	0.305059	0.221025	C17orf97
1700017B05Rik	10.9393	19.7641	28.9624	28.2515	13.9516	22.3626	C15orf39
1700017N19Rik	0	0	0	0	0	0	C12orf50
1700018B08Rik	0	0	0	0	0	0	C16orf95
1700018C11Rik	0	0	0.215837	0	0	0	RP11-402G3.3
1700019B03Rik	0	0.100909	0.0722946	0.136122	0	0.3516	C19orf45
1700019D03Rik	0.133562	0.0367017	0.037621	0	0.298196	0.0961214	C2orf88
1700019N19Rik	0	0	0	0	0	0	C10orf82
1700020A23Rik	0	0	0.19731	0	0.455513	0	C20orf141
1700020L24Rik	0.588778	2.18124	4.52351	3.26518	0.370311	0.410923	C17orf50
1700021F05Rik	27.6876	36.637	33.6901	32.9997	37.8589	32.1178	C6orf203
1700021F07Rik	0	0	0	0	0	0	C20orf85
1700022I11Rik	0	0	0	0	0	0.0262545	C9orf131
1700024G13Rik	0	0	0	0	0	0	C10orf53
1700024P16Rik	0	0.0370485	0	0.100118	0.0300361	0.09454080046922	C1orf168
1700025G04Rik	5.19243	6.62841	4.29703	4.87021	5.03069	7.27515	C1orf21
1700028K03Rik	0.802333	0.670614	0.301523	0.399643	0.4598	0.658185	C1orf146
1700028P14Rik	0	0	0	0	0	0	C9orf135
1700029H14Rik	0	0	0	0	0	0	LOC102723545
1700029I15Rik	2.44493	2.6812	1.65122	2.1997	0.835223	1.92468	C11orf94
1700029J07Rik	0.390871	0.8431641	1.493683	1.79663	0.7349237	0.297782	C4orf47
1700030J22Rik	0.708194	1.24272	0.443029	0.745681	0.590613	0.855232	C16orf46
1700030K09Rik	13.5105	13.5308	16.5784	15.0427	12.923	15.9789	C19orf44
1700034E13Rik	0	0	0	0	0	0	LOC100505841
1700034J05Rik	0	0	0.05994765	0.07943171	0	0	C12orf71
1700034O15Rik	0	0	0	0	0	0	C7orf34
1700037C18Rik	2.943125	2.64506	3.45613	3.30933	2.45276	2.826894	C16orf90
1700037H04Rik	98.62453	135.607105	111.9788	111.4652	145.38766	180.71823	C20orf27
1700040L02Rik	0.0914324	0.100139	0.306265	0.271178	0.483366	0.438473	C10orf107
1700066M21Rik	4.56452	4.735951	6.16265	6.353105	4.79244	5.649532	C2orf69
1700067K01Rik	0.59745	0.325025	0.659728	0.58669	0.605091	0.5639684	C19orf67
1700088E04Rik	2.10203	1.84002	3.527828	3.01895	2.26884756638	1.3403473699	C22orf23
1700093K21Rik	0.122157	0	0.137875	0.473797	0	0	C2orf74
1700094D03Rik	2.61996	2.42136	3.7558	4.11878	1.86715	2.61858	C1orf189
1700102P08Rik	0.106583	0	0.359392	0.56461	0.165573	0.365843	C3orf62
1700112E06Rik	0.124657	0.136832	0	0	0.219243	0	C10orf11
1700113H08Rik	0	0	0	0	0	0.0783664	C12orf42
1700123O20Rik	31.6988	27.68	34.197	33.4681	31.7484	25.2951	C14orf119
1700125H20Rik	0	0.128192	0.13111	0.174389	0.103206	0	C17orf64
1810009A15Rik	203.68189	164.22994	207.18349	222.02824	211.88583	164.15466	LOC102288414
1810010H24Rik	1.16339	0.921816	1.526083	1.599579	2.134789	3.209669	C17orf58
1810011H11Rik	0	0	0	0	0	0	C10orf128
1810011O10Rik	132.376	124.734	102.001	101.875	128.055	123.996	C8orf4
1810013L24Rik	19.0963	24.0512	22.6103	23.1087	27.0206	34.9535	C16orf72
1810022K09Rik	627.53872	525.27495	448.3572	456.2291	475.13674	337.31207	C8orf59
1810030O07Rik	24.0358	30.1844	29.9317	32.1001	23.8532	29.6027	CXorf38
1810041L15Rik	0.0330717	0.0179858	0	0.073487	0.0291945	0.0156391	KIAA1644
1810043G02Rik	13.4414	12.557	11.7701	11.7713	11.4581	12.6738	C21orf2
1810046K07Rik	0	0	0.0916807	0	0	0	C11orf53
1810055G02Rik	42.8215	62.3462	76.7254	72.7656	50.8828	76.5923	C11orf24
2010003K11Rik	0.0928231	0	1.43966	0.686	0.570397	0.621065	C11orf86
2010005H15Rik	0	0	0	0	0	0	CSTA
2010107E04Rik	814.245	533.785	297.21	291.618	713.828	477.664	C14orf2
2010107G23Rik	18.18977	14.06075	21.48005	19.72156	27.17418	20.70985	C10orf35
2010111I01Rik	14.0190702	13.626057	14.586681	13.376021	10.6677649	9.6025187	C9orf3
2010300C02Rik	5.06335	6.65269	5.40582	5.49496	6.84255	10.0066	KIAA1211L
2210016F16Rik	11.2316	10.298	19.7388	18.0188	12.9095	15.8699	C9orf64
2210016L21Rik	30.0218	36.2175	45.83	46.5415	38.8818	38.5829	C12orf43
2210408I21Rik	2.248025	1.942079	2.054815	1.40483	1.018051	1.035956	KIAA0825
2300002M23Rik	0	0	0	0	0	0	C6orf15
2300009A05Rik	15.8392	15.8401	17.8397	17.0477	15.5305	21.0811	C15orf61
2310007B03Rik	78.1399	108.4681	9.23514	11.4411	16.63986941	22.19356	C2orf54
2310009B15Rik	22.1849	19.6547	22.904	25.3563	22.337	22.2031	C1orf53
2310011J03Rik	30.3533	29.8483	29.0359	28.0215	30.0863	25.5879	C19orf25
2310022A10Rik	8.16023	10.808789001295	16.989796	16.4018	10.90425	14.61449602	C19orf47
2310022B05Rik	25.4726	40.7178	33.6318	33.4316	33.935	49.5473	C1orf198
2310030G06Rik	5.93599	8.35668	12.5722	12.4357	7.35171	9.0258	C11orf52
2310033P09Rik	16.766	24.6417	21.3021	21.8122	16.1679	24.0064	C1orf35
2310035C23Rik	6.19373	5.635753	7.46181232807	7.31369165445	4.579931687	5.737064179	KIAA1468
2310036O22Rik	142.662	168.344	208.717	194.442	133.769	151.073	C19orf43
2310050C09Rik	0	0	0	0	0	0	C1orf68
2310057M21Rik	5.96552	7.0572	13.6694	14.0075	6.56945	8.65768	C10orf88
2310057N15Rik	0	0	0	0	0	0	KRTAP13-2
2310061I04Rik	27.33099	35.74438	41.16795	43.83636	30.76204	43.49689	C6orf136
2410004B18Rik	37.5561	39.3914	28.5908	27.1819	39.6835	33.1484	C1orf52
2410004P03Rik	0.229896	0.184828	0.255883	0.169266	0.251723	0.490195	C2orf50
2410015M20Rik	267.683	215.948	187.111	184.085	231.523	170.678	C19orf70
2410089E03Rik	4.93747	7.6892	13.6777	14.9067	5.05532	8.20922	C5orf42
2410131K14Rik	5.81302	6.77434	17.3475	14.303	4.43861	5.32174	C12orf49
2510009E07Rik	0.480759	0.743071	0.871141	0.533085	0.692907	1.42727	C3orf70
2510039O18Rik	22.4226	33.0094	39.5996	32.0368	21.8262	34.6186	KIAA2013
2610020H08Rik	7.188854	7.622855	5.149857	4.620064	5.95096	6.698806	LOC81691
2610301B20Rik	8.94476	10.5792	10.4687	9.52656	7.70636	8.51876	C8orf37
2610507B11Rik	49.806	71.6029	101.163	105.704	48.6683	76.1981	KIAA0100
2610528J11Rik	0	0	0	0	0	0	C1orf210
2700049A03Rik	5.79726	7.71816	5.29464	5.83759	5.77348	9.38515	KIAA0586
2700060E02Rik	167.84	138.88	150.593	144.144	156.302	136.622	C14orf166
2700081O15Rik	9.24759	11.1322	30.6735	28.127	5.3782	8.5011	C11orf95
2810004N23Rik	43.3023	43.8621	97.0109	94.5089	39.1797	35.1244	C1orf131
2810006K23Rik	14.003204	14.859044	15.186718	13.2277	15.7986614	16.4043782	C12orf65
2810403A07Rik	66.574400132083	69.21176	50.71191	54.551390299	51.70601	66.81357	KIAA0907
2810428I15Rik	66.3431	75.1068	89.1631	93.1073	81.9254	94.8329	C19orf60
2810459M11Rik	0	0	0	0	0	0.0544761	C2orf72
2810474O19Rik	22.9698200004536	30.26082	29.92733	30.01783	33.41904	43.72171	KIAA1551
2900011O08Rik	0	0	0	0	0.0818761	0.176223	C16orf45
2900092C05Rik	0	0	0	0	0	0	C19orf18
3110002H16Rik	32.2996	37.1325	30.2924	28.5356	27.1494	35.3609	C18orf8
3110009E18Rik	12.141855	10.390093	6.443476	9.72008	9.441397	7.144898	C2orf76
3110035E14Rik	0	0	0	0	0	0	C8orf46
3110040N11Rik	36.9801	36.237	38.7423	35.1432	47.287	36.7391	C15orf40
3110043O21Rik	19.2419	18.3964	26.6823	27.4512	20.3582	23.7491	C9orf72
3110062M04Rik	5.42663	5.576516	8.102	6.879268	5.29859	5.786641	C7orf49
3110079O15Rik	0	0	0	0	0	0	C2orf82
3110082I17Rik	17.941	20.8123	41.882	39.4557	20.1804	23.5838	C7orf50
3425401B19Rik	0	0	0	0.0250479	0.01501	0.0160676	C10orf71
3632451O06Rik	0	0	0	0	0	0	C14orf37
4833420G17Rik	20.101923	19.99854	14.76303	15.815051	13.54818	15.55164	C5orf34
4833427G06Rik	0.157086	0.344195	0	0	0.692507	0.302692	C11orf88
4833439L19Rik	28.06863	37.00575103015	74.03086	78.01521	33.18045	43.427735	KIAA1191
4921507P07Rik	1.56561	2.4924	3.19125	3.02772	2.95015	4.49246	C7orf31
4921511H03Rik	0	0	0	0	0	0	C7orf62
4921524J17Rik	38.554935	40.76162	26.62705	30.880936	41.956425	50.16171	C16orf87
4921536K21Rik	0.642075	1.09177	1.78113	1.0074	0.956962	0.954125	C5orf52
4930402H24Rik	16.6025	23.545779	22.530085	24.41933	14.814922	19.901631	C20orf194
4930404N11Rik	8.71145	12.9266	12.4673	11.3864	8.19548	14.5087	C19orf71
4930415F15Rik	0.291492	0.79456	0.659868	0.290341	2.153306	0.406213	C7orf72
4930427A07Rik	10.9538	15.9142	9.4145	9.80367	15.1308	24.5195	C14orf80
4930430F08Rik	18.5093	16.8544	14.5271	17.4141	16.6417	19.0313	C12orf29
4930432K21Rik	2.90583	3.74037	3.715166	3.68866	4.27616	3.9984	C19orf57
4930435E12Rik	0	0	0	0	0	0	C3orf30
4930444P10Rik	0	0.0621546	0.120482	0.0838373	0.0998813	0.0538301	LOC100130301
4930447C04Rik	0.12325	0	0.0940437	0.125584	0.0753573	0.159621	C14orf39
4930451I11Rik	0	0	0	0	0	0	C16orf92
4930452B06Rik	4.20663	5.14329	3.48872	3.48105	4.77215	8.68483	C3orf67
4930453N24Rik	23.55	21.4574	33.5499	31.5871	15.9466	16.4343	C3orf38
4930469G21Rik	0	0	0	0	0.227232	0	LOC730159
4930503L19Rik	20.10035	18.80365	15.7809	16.8174	20.6335	24.88731	C18orf54
4930505A04Rik	0.134813	0.445417	0.45449	0	0.358204	0	C2orf73
4930522H14Rik	0	0	0	0	0	0	C1orf185
4930523C07Rik	11.07915	13.18765	3.260651	5.20189	12.596	15.1544	KIAA0040
4930524B15Rik	0	0	0	0	0	0	C5orf47
4930539E08Rik	0.326378	0.161088	0.233949	0.431255	0.147976	0.0811014	C6orf222
4930544D05Rik	0	0.201067	0	0	0	0	C17orf107
4930549C01Rik	0	0	0	0	0.166167	0	C1orf234
4930550C14Rik	1.084978	2.362394	1.101829	1.74628	2.263589	1.892244	C11orf65
4930558K02Rik	0	0	0	0	0	0	C1orf105
4930562C15Rik	0.0515805	0.0280574	0.0569432	0	0	0.0976683	C16orf96
4930563D23Rik	0	0	0.0432151	0	0	0	LOC102723451
4930563E22Rik	0.658947	0.640226	0.295257	0.0491894	1.01704	0.46523	C17orf100
4930578C19Rik	0	0	0	0	0	0	CXorf36
4930578I06Rik	0	0	0	0	0	0.104021	C8orf74
4930579F01Rik	0	0	0	0	0	0	C4orf17
4930579G24Rik	16.2129	15.6027	7.68608	8.22138	14.4441	15.9373	C4orf46
4930590J08Rik	0.117466	0.0638821	0.0976895	0.129754	0.0518425	0.0277715	C3orf20
4931406C07Rik	37.794426	46.873354	49.816788	53.45064	40.410537	47.092351	C11orf54
4931406P16Rik	9.76848	13.77379	25.161687	24.05182	12.761839	20.997	KIAA0355
4931414P19Rik	3.08704	5.33185	7.39446	6.24958	3.80672	5.34012	C14orf93
4931428F04Rik	6.93427	7.72343	7.13335	7.84718	6.39299	9.16925	KIAA0895L
4932438A13Rik	4.66755	6.95569	8.22577	8.89126	4.12967	8.15041	KIAA1109
4932438H23Rik	0.132224	0	0.0493731	0	0.0702827	0.210436	C21orf62
4933402J07Rik	0	0	0	0	0	0	C16orf78
4933402N03Rik	0	0	0	0	0	0	C10orf120
4933402P03Rik	0	0	0	0	0	0	C17orf74
4933405L10Rik	0.445127	0.38541	0.687564	0.415756	0.464639	0.756077	C16orf86
4933411K16Rik	0.374955	0.893196	1.07203	1.75885	0.722001	1.27545	C10orf62
4933413G19Rik	0	0.111506	0.114296	0.151302	0.0896044	0	LOC101929469
4933417A18Rik	0	0	0	0	0	0	C6orf201
4933427D14Rik	9.17204	11.67509	9.19051	9.80282	7.78371	9.59189	KIAA0753
4933430I17Rik	0.293184	0.192592	0.589565	0.346454	0.882862	0.727733	C9orf43
4933434E20Rik	89.443045	93.182612	102.65768	101.564055	93.830938	80.959505	C1orf43
5031439G07Rik	28.2696	39.9561	42.9521	45.2066	26.924	37.3365	KIAA0930
5330417C22Rik	0.120284	0.179012	1.441618	1.908561	0.123682	0.186764	KIAA1324
5430427O19Rik	0.0590142	0.16157	0.0332976	0.0879731	0.184363	0.254006	CXorf21
5730409E04Rik	6.88224	6.69144	15.21093	13.6489	5.77604	8.03863	C1orf216
5730455P16Rik	9.99488	12.7827	16.4457	15.6542	7.82592	9.70435	C17orf75
5730508B09Rik	14.3961	11.2561	27.4154	24.7902	15.8004	17.7538	C4orf32
5730559C18Rik	23.5877	38.2788	38.1358	36.0748	18.8325	28.4746	C1orf106
6030419C18Rik	0.799749	0.764906	5.34871	5.57507	0.92678	1.03878	C15orf59
6030458C11Rik	7.8289	7.74043	19.04779	19.81519	5.432357	7.19417	C5orf22
6030468B19Rik	0	0	0	0.279707	0	0	C17orf99
6330403K07Rik	0	0.283671	0.217177	0.28809	0	0	LOC728392
6330408A02Rik	2.47332	2.65096	5.35118	4.96413	1.51165	3.40704	C19orf68
6430548M08Rik	0.1670538217	0.2250993243	1.219812	1.084524	0.446707	0.16292	KIAA0513
6430550D23Rik	3.34025	4.23932	1.637089	2.032135	1.822436	2.747945	C20orf173
6430571L13Rik	0.392829	0.207849	0.568574	0.638903	0.208134	0.232055	C3orf18
6430573F11Rik	0.2908806	0.127106	0.0650181	0.0407609	0.0513363	0.1663567	KIAA1456
6820408C15Rik	0	0	0	0	0	0.0596635	C20orf96
8030462N17Rik	10.0899	13.0036	15.1628	16.846	10.5433	12.3412	C18orf25
8430408G22Rik	0.4780353	0.345812	4.839126	4.465833	1.81636	2.35167	C10orf10
9030617O03Rik	6.63743500247	8.07543	4.7519947085	5.21218	6.497066	8.033893	C14orf159
9030624J02Rik	27.9352	40.2524	43.9233	43.6934	29.5385	41.0588	C16orf62
9130008F23Rik	30.3842	24.7655	10.6835	9.5489	20.8206	20.5316	C6orf141
9130011E15Rik	7.09353	8.99061	14.1867	14.6044	8.18192	11.637	C10orf76
9130401M01Rik	25.6543	30.4032	48.1633	51.3847	31.4702	26.7406	C8orf76
9230110C19Rik	4.9308	5.8523	10.5565	11.435	5.84246	5.87327	C11orf70
9330159F19Rik	0.74848	0.702893	1.3157202501	1.318041	0.404339	0.58026	KIAA0408
9330182L06Rik	0.160996	0.377537	0.0256529	0.0681961	0.102069	0.153034	KIAA1324L
9430015G10Rik	19.4951	22.55777	24.55805	23.39439	15.19706	19.04221	C1orf159
9430020K01Rik	7.66398	11.7404	11.0913	12.1951	10.0159	14.6523	KIAA1462
9530068E07Rik	230.026	247.566	249.822	248.791	108.874	118.853	C5orf15
9530077C05Rik	1.27978	1.55499	2.51697	1.52836	2.60814	2.47808	KIAA0895
9930012K11Rik	6.05869	6.40133	5.63779	4.90187	8.89086	8.55038	C8orf58
9930021J03Rik	9.971635	13.36234	18.11225	19.51313	7.657349	13.6299	KIAA2026
9930104L06Rik	4.95641	5.21893	7.22204	7.21391	3.64828	4.83917	C1orf109
a	3.78504	3.93093	1.29194	1.31713	1.84195	2.23166	ASIP
A130010J15Rik	3.86943	3.15305	6.41313900088165	7.2846079	2.438026	3.23917	C1orf74
A1bg	0	0	0	0	0	0.109037	A1BG
A1cf	0	0	0.0310854	0.0412017	0	0.0530166	A1CF
A230050P20Rik	0.194814	0.621867	0.692301	0.667057	0.508985	0.965575	C19orf66
A2m	0	0	0	0	0	0	A2M
A3galt2	0.0873487	0.221464	0.0321176	0.214019	0.102318	0.137216	A3GALT2
A430005L14Rik	24.3997	20.2569	24.460872	23.1307	24.99399	19.903439	C1orf174
A430105I19Rik	17.9664	18.7554	26.5942	26.4361	14.0993	17.7095	C15orf52
A4galt	0.295598	0.176449	0.109964	0.0733097	0.182898	0.234979	A4GALT
A4gnt	0	0.0427078	0	0	0.0346794	0	A4GNT
A530016L24Rik	0	0	0.041678	0	0	0.0357146	C14orf180
A730017C20Rik	0	0	0	0	0.053603	0	KIAA1024L
A830010M20Rik	1.40129	1.55321	1.77314	1.5147	1.36479	1.93142	KIAA1107
A830018L16Rik	0.163822	0.139246	0.1464601	0.215438	0.112564	0.242362	C8orf34
A830080D01Rik	9.55845	10.77122	20.92006	21.90311	12.6711	14.53543	CXorf23
A930018P22Rik	0.13231	0	0	0	0	0	C11orf91
AA467197	4.78962	6.70738	1.230064	0.324637	15.54147	12.81527	C15orf48
AA986860	1.56656	2.43415	8.30642	8.81121	4.73687	7.38751	C1orf116
Aaas	42.9318	53.4193	48.1109	44.7745	47.4623	59.4455	AAAS
Aacs	17.0666	24.1248	37.4892	36.4174	30.8441	42.9404	AACS
Aadac	0	0	0	0	0	0.0904339	AADAC
Aadacl2	0	0	0	0	0	0	AADACL2
Aadacl3	0	0	0.0398771	0	0.0317599	0	AADACL3
Aadat	0.128286	0.422823	0.505576	0.477802	0.68601	0.615045	AADAT
Aaed1	75.8907	77.304	129.498	128.696	68.3927	84.5149	AAED1
Aagab	24.4689	27.004	22.2113	19.5957	18.3841	19.7747	AAGAB
Aak1	6.536013	9.075008	15.45957	16.17885	5.94372	9.28148	AAK1
Aamdc	14.52796	13.13019	13.44302	13.93249	13.427636	11.0045417	AAMDC
Aamp	122.1845	157.29	149.0735	140.6699	131.37003	160.25316	AAMP
Aanat	0.075578	0	0	0	0	0.0714031	AANAT
Aar2	11.537439	16.45323	18.179415	19.5124	13.50926	15.61756	AAR2
Aard	0.0796315	0	0	0	0.277838	0.0747788	AARD
Aars	46.9344	65.1043	187.382	193.755	53.7952	72.8275	AARS
Aars2	5.89713	6.60423	9.23207	8.86283	5.56763	8.49595	AARS2
Aarsd1	9.34771	17.9068	26.7106	24.3872	14.8887	17.7192	AARSD1
Aasdh	6.15544	6.45377	6.70526	7.13925	4.69753	6.17296	AASDH
Aasdhppt	24.983723	19.739606	33.61867	37.47739	20.7329712	18.415358	AASDHPPT
Aass	0.298751	0.607787	0.41232	0.599226	0.3075	1.08748	AASS
Aatf	19.5089	27.3913	65.0664	66.5415	28.3677	34.7449	AATF
Aatk	0.2786702	0.215198	0.2357115	0.152954	0.4107538	0.497987	AATK
AB124611	0.0893846	0.390559	0	0.927211	0.078741	0.0857672	C19orf38
Abat	0.0900277	0.244997	2.2945027	2.44463	0.095117	0.326586	ABAT
Abca1	3.71825	5.52425	3.87554	4.43247	1.86398	2.88492	ABCA1
Abca12	0	0	0	0.0178538	0	0	ABCA12
Abca13	0	0	0.00721033	0	0.0114715	0	ABCA13
Abca2	12.0233	18.6061	21.2102	22.5105	14.1568	23.1939	ABCA2
Abca3	15.19827	24.9677	28.61959	30.22938	21.54553	34.864	ABCA3
Abca4	0.0530086	0.0144162	0.117036	0.0583757	0.221973	0.312623	ABCA4
Abca5	11.704246	15.651572	28.23117	29.44783	10.3151	16.34561	ABCA5
Abca6	0.152681	0.217981	0.178216	0.446398	0.339282	0.787952	ABCA6
Abca7	13.0543400581803	18.16116	10.14524809933	10.57682	12.1384500134702	17.7206	ABCA7
Abca8b	1.037873	0.915196	1.257124	1.20385	0.81917	1.032948	ABCA8
Abca9	0	0.0179604	0.0917536	0.097174	0.0291976	0.0468452	ABCA9
Abcb10	6.5839	9.3557	11.853	12.0801	8.50136	10.707	ABCB10
Abcb11	0.0421537	0.0461881	0.0234848	0.0312004	0.112311	0.22075	ABCB11
Abcb1a	44.2604	57.2684	72.5134	73.0263	32.4602	44.5638	ABCB1
Abcb4	3.76382	5.5455	6.02932	6.54322	1.82061	2.71469	ABCB4
Abcb5	0	0	0	0	0	0	ABCB5
Abcb6	5.00565	6.0144	11.8338	11.9563	6.72378	8.07445	ABCB6
Abcb7	7.7171	8.03242	14.1865	14.0045	8.90623	10.9594	ABCB7
Abcb8	18.25238	25.3543738	23.67347	23.91795	12.37667	17.2489423	ABCB8
Abcb9	0.390033	0.451471	0.334851	0.242865	0.534774	0.676428	ABCB9
Abcc1	64.154703	96.847961	51.618602	55.00474	56.216986	88.529902	ABCC1
Abcc10	2.370054	3.58911	6.780434	6.509567	2.549099	4.24463	ABCC10
Abcc12	0	0	0.0478741	0.0954468	0.0382049	0.0188761	ABCC12
Abcc2	0.0186565	0.0203742	0.207062	0.302063	0.0990356	0.246747	ABCC2
Abcc3	8.57478	12.65097	54	54.6059	14.07164	19.68723	ABCC3
Abcc4	21.131630212244	34.23586	35.47279	35.4929251	21.704531	36.68803	ABCC4
Abcc5	12.37289	15.73954	30.00514	33.27093	15.61957	18.84102	ABCC5
Abcc6	0.0185163	0	0.0607545	0.0269749	0.0486271	0.0173477	ABCC6
Abcc8	0.0377338	0	0.0826902	0.109961	0.0165102	0.0706726	ABCC8
Abcc9	0.013911372484804	0.04582996069019	0	0	0.02459552155543	0.02647084274606	ABCC9
Abcd1	6.95234	9.16394	9.06851	8.16124	9.44329	12.5954	ABCD1
Abcd2	0.280239	0.0225486	0.24341	0.420551	0.216994	0.377413	ABCD2
Abcd3	40.6616	56.8969	70.5661	76.7061	37.7902	51.2617	ABCD3
Abcd4	19.7999	23.253	16.0392	16.0427	17.8158	22.273	ABCD4
Abce1	74.5999	86.6154	143.745	148.155	86.7877	105.278	ABCE1
Abcf1	50.5126	76.9656	94.5712	97.5949	55.8399	74.9492	ABCF1
Abcf2	44.68198	52.84608	106.27037	108.14148	39.12199	52.04315	ABCF2
Abcf3	22.0241	23.4058	29.8254	30.8171	20.9205	25.224	ABCF3
Abcg1	6.73983	10.4096	1.84569	1.72033	8.32204	8.50782	ABCG1
Abcg2	4.22157	4.310221	9.52916	11.19289	9.39525	9.928	ABCG2
