ImmPort Study ID	PubMed	Study Title	PI	Biosample ID	Experiment ID	Cohort	Repository Accession	Type	Subtype	Biosample Name	Biosample Description	Species	Strain
SDY1148	28398584	Genomic profiles of low-grade murine gliomas evolve during progression to glioblastoma	Ryan Miller	GSM1196155	GSE49265	GEMM_control	GSM1196155	Brain	Normal Forebrain	RNA of 221182_Forebrain_Normal	C57/Bl6 background mice	Mus musculus	C57/Bl6
SDY1148	28398584	Genomic profiles of low-grade murine gliomas evolve during progression to glioblastoma	Ryan Miller	GSM1196156	GSE49265	GEMM_Phet	GSM1196156	Brain	Normal Forebrain	RNA of 217871_Forebrain_T	Genotype: Pten +/- ; GFAP-CreER	Mus musculus	C57/Bl6:Phet
SDY1148	28398584	Genomic profiles of low-grade murine gliomas evolve during progression to glioblastoma	Ryan Miller	GSM1196157	GSE49265	GEMM_control	GSM1196157	Brain	Normal Forebrain	RNA of 217861_Forebrain_Normal	C57/Bl6 background mice	Mus musculus	C57/Bl6
SDY1148	28398584	Genomic profiles of low-grade murine gliomas evolve during progression to glioblastoma	Ryan Miller	GSM1196158	GSE49265	GEMM_TPhet	GSM1196158	Brain	LGA tumor A2 at Forebrain	RNA of 216188_Forebrain_TPhet	Genotype:TgGZT 121 ; Pten +/- ; GFAP-CreER	Mus musculus	C57/Bl6:TPhet
SDY1148	28398584	Genomic profiles of low-grade murine gliomas evolve during progression to glioblastoma	Ryan Miller	GSM1196159	GSE49265	GEMM_control	GSM1196159	Brain	Normal Forebrain	RNA of 221699_Forebrain_Normal	C57/Bl6 background mice	Mus musculus	C57/Bl6
SDY1148	28398584	Genomic profiles of low-grade murine gliomas evolve during progression to glioblastoma	Ryan Miller	GSM1196160	GSE49265	GEMM_T	GSM1196160	Brain	LGA tumor A2 at Forebrain	RNA of 219147_Forebrain_T	Genotype:TgGZT 121 ; GFAP-CreER	Mus musculus	C57/Bl6:T
SDY1148	28398584	Genomic profiles of low-grade murine gliomas evolve during progression to glioblastoma	Ryan Miller	GSM1196161	GSE49265	GEMM_Pnull	GSM1196161	Brain	Normal Olfactory bulb	RNA of 219892_OB_P_null	Genotype: Pten -/- ; GFAP-CreER	Mus musculus	C57/Bl6:Pnull
SDY1148	28398584	Genomic profiles of low-grade murine gliomas evolve during progression to glioblastoma	Ryan Miller	GSM1196162	GSE49265	GEMM_R	GSM1196162	Brain	Normal Olfactory bulb	RNA of 219670_OB_R	"Genotype: Kras G12D+/- ; GFAP-CreER, "	Mus musculus	C57/Bl6:R
SDY1148	28398584	Genomic profiles of low-grade murine gliomas evolve during progression to glioblastoma	Ryan Miller	GSM1196163	GSE49265	GEMM_T	GSM1196163	Brain	LGA tumor A2 at Olfactory bulb	RNA of 219147_OB_T	Genotype:TgGZT 121 ; GFAP-CreER	Mus musculus	C57/Bl6:T
SDY1148	28398584	Genomic profiles of low-grade murine gliomas evolve during progression to glioblastoma	Ryan Miller	GSM1196164	GSE49265	GEMM_TPhet	GSM1196164	Brain	LGA tumor A2 at Olfactory bulb	RNA of 216188_OB_TP_het	Genotype:TgGZT 121 ; Pten +/- ; GFAP-CreER	Mus musculus	C57/Bl6:TPhet
SDY1148	28398584	Genomic profiles of low-grade murine gliomas evolve during progression to glioblastoma	Ryan Miller	GSM1196165	GSE49265	GEMM_control	GSM1196165	Brain	Normal Olfactory bulb	RNA of 217861_OB_Oil	C57/Bl6 background mice	Mus musculus	C57/Bl6
SDY1148	28398584	Genomic profiles of low-grade murine gliomas evolve during progression to glioblastoma	Ryan Miller	GSM1196166	GSE49265	GEMM_TRPnull	GSM1196166	Brain	LGA tumor A2 at Olfactory bulb	RNA of 215534_OB_TRP_null	Genotype:TgGZT 121 ; Kras G12D+/- ; Pten -/- ; GFAP-CreER	Mus musculus	C57/Bl6:TRPnull
SDY1148	28398584	Genomic profiles of low-grade murine gliomas evolve during progression to glioblastoma	Ryan Miller	GSM1196167	GSE49265	GEMM_TPnull	GSM1196167	Brain	LGA tumor A2 at Olfactory bulb	RNA of 219699_OB_TP_null	Genotype:TgGZT 121 ; Pten -/- ; GFAP-CreER	Mus musculus	C57/Bl6:TPnull
SDY1148	28398584	Genomic profiles of low-grade murine gliomas evolve during progression to glioblastoma	Ryan Miller	GSM1196168	GSE49265	GEMM_TRPhet	GSM1196168	Brain	LGA tumor A2 at Olfactory bulb	RNA of 217494_OB_TRP_het	Genotype:TgGZT 121 ; Kras G12D+/- ; Pten +/- ; GFAP-CreER	Mus musculus	C57/Bl6:TRPhet
SDY1148	28398584	Genomic profiles of low-grade murine gliomas evolve during progression to glioblastoma	Ryan Miller	GSM1196169	GSE49265	GEMM_TPhet	GSM1196169	Brain	LGA tumor A2 at Olfactory bulb	RNA of 215217_OB_TP_het	Genotype:TgGZT 121 ; Pten +/- ; GFAP-CreER	Mus musculus	C57/Bl6:TPhet
SDY1148	28398584	Genomic profiles of low-grade murine gliomas evolve during progression to glioblastoma	Ryan Miller	GSM1196170	GSE49265	GEMM_TRPnull	GSM1196170	Brain	LGA tumor A2 at Olfactory bulb	RNA of 215697_OB_TRP_nulll	Genotype:TgGZT 121 ; Kras G12D+/- ; Pten -/- ; GFAP-CreER	Mus musculus	C57/Bl6:TRPnull
SDY1148	28398584	Genomic profiles of low-grade murine gliomas evolve during progression to glioblastoma	Ryan Miller	GSM1196171	GSE49265	GEMM_control	GSM1196171	Brain	Normal Olfactory bulb	RNA of 223979_OB_Oil	C57/Bl6 background mice	Mus musculus	C57/Bl6
SDY1148	28398584	Genomic profiles of low-grade murine gliomas evolve during progression to glioblastoma	Ryan Miller	GSM1196172	GSE49265	GEMM_TRPhet	GSM1196172	Brain	LGA tumor A2 at Olfactory bulb	RNA of 219596_OB_TRP_het	Genotype:TgGZT 121 ; Kras G12D+/- ; Pten +/- ; GFAP-CreER	Mus musculus	C57/Bl6:TRPhet
SDY1148	28398584	Genomic profiles of low-grade murine gliomas evolve during progression to glioblastoma	Ryan Miller	GSM1196173	GSE49265	GEMM_control	GSM1196173	Brain	Normal Olfactory bulb	RNA of 221699_OB_Oil	C57/Bl6 background mice	Mus musculus	C57/Bl6
SDY1148	28398584	Genomic profiles of low-grade murine gliomas evolve during progression to glioblastoma	Ryan Miller	GSM1196174	GSE49265	GEMM_TRPnull	GSM1196174	Brain	LGA tumor A3 at Olfactory bulb	RNA of 214253_OB_TRP_null	Genotype:TgGZT 121 ; Kras G12D+/- ; Pten -/- ; GFAP-CreER	Mus musculus	C57/Bl6:TRPnull
SDY1148	28398584	Genomic profiles of low-grade murine gliomas evolve during progression to glioblastoma	Ryan Miller	GSM1196175	GSE49265	GEMM_TPnull	GSM1196175	Brain	LGA tumor A2 at Olfactory bulb	RNA of 217857_OB_TP_null	Genotype:TgGZT 121 ; Pten -/- ; GFAP-CreER	Mus musculus	C57/Bl6:TPnull
SDY1148	28398584	Genomic profiles of low-grade murine gliomas evolve during progression to glioblastoma	Ryan Miller	GSM1196176	GSE49265	GEMM_TRPhet	GSM1196176	Brain	LGA tumor A2 at Olfactory bulb	RNA of 219439_OB_TRP_het	Genotype:TgGZT 121 ; Kras G12D+/- ; Pten +/- ; GFAP-CreER	Mus musculus	C57/Bl6:TRPhet
SDY1148	28398584	Genomic profiles of low-grade murine gliomas evolve during progression to glioblastoma	Ryan Miller	GSM1196177	GSE49265	GEMM_control	GSM1196177	Brain	Normal Olfactory bulb	RNA of 220435_OB_Oil	C57/Bl6 background mice	Mus musculus	C57/Bl6
SDY1148	28398584	Genomic profiles of low-grade murine gliomas evolve during progression to glioblastoma	Ryan Miller	GSM1196178	GSE49265	GEMM_TRPhet	GSM1196178	Brain	LGA tumor A2 at Olfactory bulb	RNA of 219695_OB_TRP_het	Genotype:TgGZT 121 ; Kras G12D+/- ; Pten +/- ; GFAP-CreER	Mus musculus	C57/Bl6:TRPhet
SDY1148	28398584	Genomic profiles of low-grade murine gliomas evolve during progression to glioblastoma	Ryan Miller	GSM1196179	GSE49265	GEMM_T	GSM1196179	Brain	LGA tumor A2 at Olfactory bulb	RNA of 221940_OB_T	Genotype:TgGZT 121 ; GFAP-CreER	Mus musculus	C57/Bl6:T
SDY1148	28398584	Genomic profiles of low-grade murine gliomas evolve during progression to glioblastoma	Ryan Miller	GSM1196180	GSE49265	GEMM_R	GSM1196180	Brain	Normal Olfactory bulb	RNA of 225561_OB_R	"Genotype: Kras G12D+/- ; GFAP-CreER, "	Mus musculus	C57/Bl6:R
SDY1148	28398584	Genomic profiles of low-grade murine gliomas evolve during progression to glioblastoma	Ryan Miller	GSM1196181	GSE49265	GEMM_Pnull	GSM1196181	Brain	Normal Olfactory bulb	RNA of 220057_OB_P_null	Genotype: Pten -/- ; GFAP-CreER	Mus musculus	C57/Bl6:Pnull
SDY1148	28398584	Genomic profiles of low-grade murine gliomas evolve during progression to glioblastoma	Ryan Miller	GSM1196182	GSE49265	GEMM_TPhet	GSM1196182	Brain	LGA tumor A2 at Olfactory bulb	RNA of 219438_OB_TP_het	Genotype:TgGZT 121 ; Pten +/- ; GFAP-CreER	Mus musculus	C57/Bl6:TPhet
SDY1148	28398584	Genomic profiles of low-grade murine gliomas evolve during progression to glioblastoma	Ryan Miller	GSM1196183	GSE49265	GEMM_TRPnull	GSM1196183	Brain	LGA tumor A2 at Olfactory bulb	RNA of 216498_OB_TRP_null	Genotype:TgGZT 121 ; Kras G12D+/- ; Pten -/- ; GFAP-CreER	Mus musculus	C57/Bl6:TRPnull
SDY1148	28398584	Genomic profiles of low-grade murine gliomas evolve during progression to glioblastoma	Ryan Miller	GSM1196184	GSE49265	GEMM_TPnull	GSM1196184	Brain	LGA tumor A2 at Olfactory bulb	RNA of 219594_OB_TP_null	Genotype:TgGZT 121 ; Pten -/- ; GFAP-CreER	Mus musculus	C57/Bl6:TPnull
SDY1148	28398584	Genomic profiles of low-grade murine gliomas evolve during progression to glioblastoma	Ryan Miller	GSM1196185	GSE49265	GEMM_T	GSM1196185	Brain	LGA tumor A2 at Olfactory bulb	RNA of 221184_OB_T	Genotype:TgGZT 121 ; GFAP-CreER	Mus musculus	C57/Bl6:T
SDY1148	28398584	Genomic profiles of low-grade murine gliomas evolve during progression to glioblastoma	Ryan Miller	GSM1196186	GSE49265	GEMM_RPhet	GSM1196186	Brain	Normal Olfactory bulb	RNA of 220061_OB_RP_het	Genotype:K ras G12D+/-; Pten +/- ; GFAP-CreER	Mus musculus	C57/Bl6:RPhet
SDY1148	28398584	Genomic profiles of low-grade murine gliomas evolve during progression to glioblastoma	Ryan Miller	GSM1196187	GSE49265	GEMM_RPnull	GSM1196187	Brain	Normal Olfactory bulb	RNA of 220062_OB_RP_null	Genotype:Kras G12D+/-; Pten -/- ; GFAP-CreER	Mus musculus	C57/Bl6:RPnull
SDY1148	28398584	Genomic profiles of low-grade murine gliomas evolve during progression to glioblastoma	Ryan Miller	GSM1196188	GSE49265	GEMM_RPnull	GSM1196188	Brain	Normal Olfactory bulb	RNA of 219898_OB_RP_null	Genotype:Kras G12D+/-; Pten -/- ; GFAP-CreER	Mus musculus	C57/Bl6:RPnull
SDY1148	28398584	Genomic profiles of low-grade murine gliomas evolve during progression to glioblastoma	Ryan Miller	GSM1196189	GSE49265	GEMM_T	GSM1196189	Brain	LGA tumor A2 at Olfactory bulb	RNA of 220727_OB_T	Genotype:TgGZT 121 ; GFAP-CreER	Mus musculus	C57/Bl6:T
SDY1148	28398584	Genomic profiles of low-grade murine gliomas evolve during progression to glioblastoma	Ryan Miller	GSM1196190	GSE49265	GEMM_Pnull	GSM1196190	Brain	Normal Olfactory bulb	RNA of 219921_OB_P_null	Genotype: Pten -/- ; GFAP-CreER	Mus musculus	C57/Bl6:Pnull
SDY1148	28398584	Genomic profiles of low-grade murine gliomas evolve during progression to glioblastoma	Ryan Miller	GSM1196191	GSE49265	GEMM_TRPhet	GSM1196191	Brain	LGA tumor A2 at Olfactory bulb	RNA of 217706_OB_TRP_het	Genotype:TgGZT 121 ; Kras G12D+/- ; Pten +/- ; GFAP-CreER	Mus musculus	C57/Bl6:TRPhet
SDY1148	28398584	Genomic profiles of low-grade murine gliomas evolve during progression to glioblastoma	Ryan Miller	GSM1196192	GSE49265	GEMM_Phet	GSM1196192	Brain	Normal Olfactory bulb	RNA of 217463_OB_P_het	Genotype: Pten +/- ; GFAP-CreER	Mus musculus	C57/Bl6:Phet
SDY1148	28398584	Genomic profiles of low-grade murine gliomas evolve during progression to glioblastoma	Ryan Miller	GSM1196193	GSE49265	GEMM_Phet	GSM1196193	Brain	Normal Olfactory bulb	RNA of 217871_OB_P_het	Genotype: Pten +/- ; GFAP-CreER	Mus musculus	C57/Bl6:Phet
SDY1148	28398584	Genomic profiles of low-grade murine gliomas evolve during progression to glioblastoma	Ryan Miller	GSM1196194	GSE49265	GEMM_RPhet	GSM1196194	Brain	Normal Olfactory bulb	RNA of 221181_OB_RP_het	Genotype:K ras G12D+/-; Pten +/- ; GFAP-CreER	Mus musculus	C57/Bl6:RPhet
SDY1148	28398584	Genomic profiles of low-grade murine gliomas evolve during progression to glioblastoma	Ryan Miller	GSM1196195	GSE49265	GEMM_RPnull	GSM1196195	Brain	Normal Olfactory bulb	RNA of 219159_OB_RP_null	Genotype:Kras G12D+/-; Pten -/- ; GFAP-CreER	Mus musculus	C57/Bl6:RPnull
SDY1148	28398584	Genomic profiles of low-grade murine gliomas evolve during progression to glioblastoma	Ryan Miller	GSM1196196	GSE49265	GEMM_TR	GSM1196196	Brain	LGA tumor A2 at Olfactory bulb	RNA of 214252_OB_TR	Genotype:TgGZT 121 ; Kras G12D+/- ; GFAP-CreER	Mus musculus	C57/Bl6:TR
SDY1148	28398584	Genomic profiles of low-grade murine gliomas evolve during progression to glioblastoma	Ryan Miller	GSM1196197	GSE49265	GEMM_Phet	GSM1196197	Brain	Normal Olfactory bulb	RNA of 214254_OB_P_het	Genotype: Pten +/- ; GFAP-CreER	Mus musculus	C57/Bl6:Phet
SDY1148	28398584	Genomic profiles of low-grade murine gliomas evolve during progression to glioblastoma	Ryan Miller	GSM1196198	GSE49265	GEMM_TRPhet	GSM1196198	Brain	LGA tumor A2 at Olfactory bulb	RNA of 214828_OB_TRP_het	Genotype:TgGZT 121 ; Kras G12D+/- ; Pten +/- ; GFAP-CreER	Mus musculus	C57/Bl6:TRPhet
SDY1148	28398584	Genomic profiles of low-grade murine gliomas evolve during progression to glioblastoma	Ryan Miller	GSM1196199	GSE49265	GEMM_RPhet	GSM1196199	Brain	Normal Olfactory bulb	RNA of 214987_OB_RP_het	Genotype:K ras G12D+/-; Pten +/- ; GFAP-CreER	Mus musculus	C57/Bl6:RPhet
SDY1148	28398584	Genomic profiles of low-grade murine gliomas evolve during progression to glioblastoma	Ryan Miller	GSM1196200	GSE49265	GEMM_TPnull	GSM1196200	Brain	LGA tumor A2 at Olfactory bulb	RNA of 221180_OB_TP_null	Genotype:TgGZT 121 ; Pten -/- ; GFAP-CreER	Mus musculus	C57/Bl6:TPnull
SDY1148	28398584	Genomic profiles of low-grade murine gliomas evolve during progression to glioblastoma	Ryan Miller	GSM1196201	GSE49265	GEMM_Pnull	GSM1196201	Brain	Normal Olfactory bulb	RNA of 221927_OB_P_null	Genotype: Pten -/- ; GFAP-CreER	Mus musculus	C57/Bl6:Pnull
SDY1148	28398584	Genomic profiles of low-grade murine gliomas evolve during progression to glioblastoma	Ryan Miller	GSM1196202	GSE49265	GEMM_Pnull	GSM1196202	Brain	Normal Olfactory bulb	RNA of 221928_OB_P_null	Genotype: Pten -/- ; GFAP-CreER	Mus musculus	C57/Bl6:Pnull
SDY1148	28398584	Genomic profiles of low-grade murine gliomas evolve during progression to glioblastoma	Ryan Miller	GSM1196203	GSE49265	GEMM_RPnull	GSM1196203	Brain	Normal Olfactory bulb	RNA of 215214_OB_RP_null	Genotype:Kras G12D+/-; Pten -/- ; GFAP-CreER	Mus musculus	C57/Bl6:RPnull
SDY1148	28398584	Genomic profiles of low-grade murine gliomas evolve during progression to glioblastoma	Ryan Miller	GSM1196204	GSE49265	GEMM_RPhet	GSM1196204	Brain	Normal Olfactory bulb	RNA of 215216_OB_RP_het	Genotype:K ras G12D+/-; Pten +/- ; GFAP-CreER	Mus musculus	C57/Bl6:RPhet
SDY1148	28398584	Genomic profiles of low-grade murine gliomas evolve during progression to glioblastoma	Ryan Miller	GSM1196205	GSE49265	GEMM_TRPhet	GSM1196205	Brain	LGA tumor A2 at Olfactory bulb	RNA of 216175_OB_TRP_het	Genotype:TgGZT 121 ; Kras G12D+/- ; Pten +/- ; GFAP-CreER	Mus musculus	C57/Bl6:TRPhet
SDY1148	28398584	Genomic profiles of low-grade murine gliomas evolve during progression to glioblastoma	Ryan Miller	GSM1196206	GSE49265	GEMM_TPhet	GSM1196206	Brain	LGA tumor A2 at Olfactory bulb	RNA of 219591_OB_TP_het	Genotype:TgGZT 121 ; Pten +/- ; GFAP-CreER	Mus musculus	C57/Bl6:TPhet
SDY1148	28398584	Genomic profiles of low-grade murine gliomas evolve during progression to glioblastoma	Ryan Miller	GSM1196207	GSE49265	GEMM_TPnull	GSM1196207	Brain	LGA tumor A2 at Olfactory bulb	RNA of 219595_OB_TP_null	Genotype:TgGZT 121 ; Pten -/- ; GFAP-CreER	Mus musculus	C57/Bl6:TPnull
SDY1148	28398584	Genomic profiles of low-grade murine gliomas evolve during progression to glioblastoma	Ryan Miller	GSM1196208	GSE49265	GEMM_TRPhet	GSM1196208	Brain	LGA tumor A2 at Olfactory bulb	RNA of 219913_OB_TRP_het	Genotype:TgGZT 121 ; Kras G12D+/- ; Pten +/- ; GFAP-CreER	Mus musculus	C57/Bl6:TRPhet
SDY1148	28398584	Genomic profiles of low-grade murine gliomas evolve during progression to glioblastoma	Ryan Miller	GSM1196209	GSE49265	GEMM_RPnull	GSM1196209	Brain	Normal Olfactory bulb	RNA of 219918_OB_RP_null	Genotype:Kras G12D+/-; Pten -/- ; GFAP-CreER	Mus musculus	C57/Bl6:RPnull
SDY1148	28398584	Genomic profiles of low-grade murine gliomas evolve during progression to glioblastoma	Ryan Miller	GSM1196210	GSE49265	GEMM_Phet	GSM1196210	Brain	Normal Olfactory bulb	RNA of 220724_OB_P_het	Genotype: Pten +/- ; GFAP-CreER	Mus musculus	C57/Bl6:Phet
SDY1148	28398584	Genomic profiles of low-grade murine gliomas evolve during progression to glioblastoma	Ryan Miller	GSM1196211	GSE49265	GEMM_TRPnull	GSM1196211	Brain	LGA tumor A2 at Olfactory bulb	RNA of 243054_OB_TRPnull	Genotype:TgGZT 121 ; Kras G12D+/- ; Pten -/- ; GFAP-CreER	Mus musculus	C57/Bl6:TRPnull
SDY1148	28398584	Genomic profiles of low-grade murine gliomas evolve during progression to glioblastoma	Ryan Miller	GSM1196212	GSE49265	GEMM_TPhet	GSM1196212	Brain	LGA tumor A2 at Olfactory bulb	RNA of 219973_OB_TPhet	Genotype:TgGZT 121 ; Pten +/- ; GFAP-CreER	Mus musculus	C57/Bl6:TPhet
SDY1148	28398584	Genomic profiles of low-grade murine gliomas evolve during progression to glioblastoma	Ryan Miller	GSM1196213	GSE49265	GEMM_TRPnull	GSM1196213	Brain	LGA tumor A2 at Forebrain	RNA of 243054_Forebrain_TRPnull	Genotype:TgGZT 121 ; Kras G12D+/- ; Pten -/- ; GFAP-CreER	Mus musculus	C57/Bl6:TRPnull
SDY1148	28398584	Genomic profiles of low-grade murine gliomas evolve during progression to glioblastoma	Ryan Miller	GSM1196214	GSE49265	GEMM_TPhet	GSM1196214	Brain	LGA tumor A2 at Forebrain	RNA of 219973_Forebrain_TPhet	Genotype:TgGZT 121 ; Pten +/- ; GFAP-CreER	Mus musculus	C57/Bl6:TPhet
SDY1148	28398584	Genomic profiles of low-grade murine gliomas evolve during progression to glioblastoma	Ryan Miller	GSM1196215	GSE49265	GEMM_TR	GSM1196215	Brain	LGA tumor A2 at Forebrain	RNA of 225569_Forebrain_TR	Genotype:TgGZT 121 ; Kras G12D+/- ; GFAP-CreER	Mus musculus	C57/Bl6:TR
SDY1148	28398584	Genomic profiles of low-grade murine gliomas evolve during progression to glioblastoma	Ryan Miller	GSM1196216	GSE49265	GEMM_TR	GSM1196216	Brain	LGA tumor A2 at Forebrain	RNA of 222912_Forebrain_TR	Genotype:TgGZT 121 ; Kras G12D+/- ; GFAP-CreER	Mus musculus	C57/Bl6:TR
SDY1148	28398584	Genomic profiles of low-grade murine gliomas evolve during progression to glioblastoma	Ryan Miller	GSM1196217	GSE49265	GEMM_RPhet	GSM1196217	Brain	Normal Forebrain	RNA of 215216_Forebrain_RPhet	Genotype:K ras G12D+/-; Pten +/- ; GFAP-CreER	Mus musculus	C57/Bl6:RPhet
SDY1148	28398584	Genomic profiles of low-grade murine gliomas evolve during progression to glioblastoma	Ryan Miller	GSM1196218	GSE49265	GEMM_RPnull	GSM1196218	Brain	Normal Forebrain	RNA of 215214_Forebrain_RPnull	Genotype:Kras G12D+/-; Pten -/- ; GFAP-CreER	Mus musculus	C57/Bl6:RPnull
SDY1148	28398584	Genomic profiles of low-grade murine gliomas evolve during progression to glioblastoma	Ryan Miller	GSM1196219	GSE49265	GEMM_T	GSM1196219	Brain	LGA tumor A2 at Forebrain	RNA of 220727_Forebrain_T	Genotype:TgGZT 121 ; GFAP-CreER	Mus musculus	C57/Bl6:T
SDY1148	28398584	Genomic profiles of low-grade murine gliomas evolve during progression to glioblastoma	Ryan Miller	GSM1196220	GSE49265	GEMM_T	GSM1196220	Brain	LGA tumor A2 at Forebrain	RNA of 221184_Forebrain_T	Genotype:TgGZT 121 ; GFAP-CreER	Mus musculus	C57/Bl6:T
SDY1148	28398584	Genomic profiles of low-grade murine gliomas evolve during progression to glioblastoma	Ryan Miller	GSM1196221	GSE49265	GEMM_TRPhet	GSM1196221	Brain	LGA tumor A2 at Forebrain	RNA of 216175_Forebrain_TRPhet	Genotype:TgGZT 121 ; Kras G12D+/- ; Pten +/- ; GFAP-CreER	Mus musculus	C57/Bl6:TRPhet
SDY1148	28398584	Genomic profiles of low-grade murine gliomas evolve during progression to glioblastoma	Ryan Miller	GSM1196222	GSE49265	GEMM_TRPhet	GSM1196222	Brain	LGA tumor A2 at Forebrain	RNA of 214828_Forebrain_TRPhet	Genotype:TgGZT 121 ; Kras G12D+/- ; Pten +/- ; GFAP-CreER	Mus musculus	C57/Bl6:TRPhet
SDY1148	28398584	Genomic profiles of low-grade murine gliomas evolve during progression to glioblastoma	Ryan Miller	GSM1196223	GSE49266	GEMM_TR	GSM1196223	Brain	HGA glioma GBM at Brainstem	RNA of 232366_BS_TR	Genotype:TgGZT 121 ; Kras G12D+/- ; GFAP-CreER	Mus musculus	C57/Bl6:TR
SDY1148	28398584	Genomic profiles of low-grade murine gliomas evolve during progression to glioblastoma	Ryan Miller	GSM1196224	GSE49266	GEMM_TRPhet	GSM1196224	Brain	HGA glioma GBM at Brainstem	RNA of 233106_BS_TRPhet	Genotype:TgGZT 121 ; Kras G12D+/- ; Pten +/- ; GFAP-CreER	Mus musculus	C57/Bl6:TRPhet
SDY1148	28398584	Genomic profiles of low-grade murine gliomas evolve during progression to glioblastoma	Ryan Miller	GSM1196225	GSE49266	GEMM_TRPhet	GSM1196225	Brain	HGA glioma GBM at Cortex	RNA of 233117_OFB_TRPhet	Genotype:TgGZT 121 ; Kras G12D+/- ; Pten +/- ; GFAP-CreER	Mus musculus	C57/Bl6:TRPhet
SDY1148	28398584	Genomic profiles of low-grade murine gliomas evolve during progression to glioblastoma	Ryan Miller	GSM1196226	GSE49266	GEMM_TRPhet	GSM1196226	Brain	HGA glioma GBM at Olfactory bulb	RNA of 233352_OFB_TRPhet	Genotype:TgGZT 121 ; Kras G12D+/- ; Pten +/- ; GFAP-CreER	Mus musculus	C57/Bl6:TRPhet
