Type	Subtype	Species	Study Title	PI	ImmPort Study ID	PubMed	Experiment ID	Cohort	BioSample.ID	Repository Accession	Biosample Name	Biosample Description	Strain	Evading_growth_suppressors	Evading_immune_destruction	Genome_instability	Replicative_immortality	Reprogramming_energy_metabolism	Resisting_cell_death	Sustained_angiogenesis	Sustaining_proliferative_signaling	Tissue_invasion_and_metastasis	Tumor_promoting_inflammation
Colon	Polyp	Mus musculus	Apc Restoration Promotes Cellular Differentiation and Reestablishes Crypt Homeostasis in Colorectal Cancer	Scott Lowe	SDY1093	26091037	GSE67186	shAPC/Kras off Dox	SRR1925836	GSM1641461    	shAPC/Kras OFF DOX 3_Colon Polyp polyA RNA	remove Doxycycline after on-Dox treatment	LSL-rtTA3/Lgr5-CreER/shAPC +  Kras G12D  in C57B6/132	635	476	644	259	513	559	809	725	703	637
Colon	Polyp	Mus musculus	Apc Restoration Promotes Cellular Differentiation and Reestablishes Crypt Homeostasis in Colorectal Cancer	Scott Lowe	SDY1093	26091037	GSE67186	shAPC/Kras off Dox	SRR1925837	GSM1641462    	shAPC/Kras OFF DOX 4_Colon Polyp polyA RNA	remove Doxycycline after on-Dox treatment	LSL-rtTA3/Lgr5-CreER/shAPC +  Kras G12D  in C57B6/132	634	492	647	258	471	573	804	721	689	620
Colon	Polyp	Mus musculus	Apc Restoration Promotes Cellular Differentiation and Reestablishes Crypt Homeostasis in Colorectal Cancer	Scott Lowe	SDY1093	26091037	GSE67186	shAPC off Dox	SRR1925838	GSM1641463    	shAPC OFF DOX 1_Colon Polyp polyA RNA	remove Doxycycline after on-Dox treatment	LSL-rtTA3/Lgr5-CreER/shApc in C57B6/132	623	419	660	268	502	553	779	727	669	625
Colon	Polyp	Mus musculus	Apc Restoration Promotes Cellular Differentiation and Reestablishes Crypt Homeostasis in Colorectal Cancer	Scott Lowe	SDY1093	26091037	GSE67186	shAPC off Dox	SRR1925839	GSM1641464    	shAPC OFF DOX 2_Colon Polyp polyA RNA	remove Doxycycline after on-Dox treatment	LSL-rtTA3/Lgr5-CreER/shApc in C57B6/132	615	419	661	266	496	530	775	737	676	612
Colon	Polyp	Mus musculus	Apc Restoration Promotes Cellular Differentiation and Reestablishes Crypt Homeostasis in Colorectal Cancer	Scott Lowe	SDY1093	26091037	GSE67186	shAPC off Dox	SRR1925840	GSM1641465    	shAPC OFF DOX 3_Colon Polyp polyA RNA	remove Doxycycline after on-Dox treatment	LSL-rtTA3/Lgr5-CreER/shApc in C57B6/132	615	411	676	280	486	540	782	743	639	580
Colon	Polyp	Mus musculus	Apc Restoration Promotes Cellular Differentiation and Reestablishes Crypt Homeostasis in Colorectal Cancer	Scott Lowe	SDY1093	26091037	GSE67186	shAPC off Dox	SRR1925841	GSM1641466    	shAPC OFF DOX 4_Colon Polyp polyA RNA	remove Doxycycline after on-Dox treatment	LSL-rtTA3/Lgr5-CreER/shApc in C57B6/132	598	408	649	264	494	535	806	733	656	606
Colon	Mucosa	Mus musculus	Apc Restoration Promotes Cellular Differentiation and Reestablishes Crypt Homeostasis in Colorectal Cancer	Scott Lowe	SDY1093	26091037	GSE67186	shRenilla on Dox	SRR1925842	GSM1641467    	shRenilla On Dox 1_Colon Mucosa polyA RNA	4-6 weeks after 4-OHT shot and Dox feed	LSL-rtTA3/Lgr5-CreER/shRen in C57B6/132	491	410	655	279	455	476	760	697	603	521
Colon	Mucosa	Mus musculus	Apc Restoration Promotes Cellular Differentiation and Reestablishes Crypt Homeostasis in Colorectal Cancer	Scott Lowe	SDY1093	26091037	GSE67186	shRenilla on Dox	SRR1925843	GSM1641468    	shRenilla On Dox 2_Colon Mucosa polyA RNA	4-6 weeks after 4-OHT shot and Dox feed	LSL-rtTA3/Lgr5-CreER/shRen in C57B6/132	500	438	601	253	430	475	790	690	603	537
Colon	Mucosa	Mus musculus	Apc Restoration Promotes Cellular Differentiation and Reestablishes Crypt Homeostasis in Colorectal Cancer	Scott Lowe	SDY1093	26091037	GSE67186	shRenilla off Dox	SRR1925844	GSM1641469    	shRenilla OFF Dox 1_Colon Mucosa polyA RNA	remove Doxycycline after on-Dox treatment	LSL-rtTA3/Lgr5-CreER/shRen in C57B6/132	497	407	668	280	398	486	781	692	590	517
Colon	Mucosa	Mus musculus	Apc Restoration Promotes Cellular Differentiation and Reestablishes Crypt Homeostasis in Colorectal Cancer	Scott Lowe	SDY1093	26091037	GSE67186	shRenilla off Dox	SRR1925845	GSM1641470  	shRenilla OFF Dox 2_Colon Mucosa polyA RNA	remove Doxycycline after on-Dox treatment	LSL-rtTA3/Lgr5-CreER/shRen in C57B6/132	491	420	686	290	426	462	770	710	582	516
Brain	 Granulocyte Macrophage Progenitor (GMP)	Mus musculus	DNMT3A Haploinsufficiency Transforms FLT3 ITD Myeloproliferative Disease into a Rapid, Spontaneous, and Fully Penetrant Acute Myeloid Leukemia	Leighton Grimes	SDY1099	27016502	GSE70235	BM_Csf1r-negative GMP	SRR2079134	GSM1721129	Csf1r-negative GMP (Csf1r- control) Bulk RNA Seq CAG-14915	Lin- CD117+ Sca1- CD16/32+ CD34+ CD115- Gfi1-IRES-Venus-negative (Csf1r- control)	C57BL/6	628	534	589	651	792	641	619	691	707	664
Brain	 Granulocyte Macrophage Progenitor (GMP)	Mus musculus	DNMT3A Haploinsufficiency Transforms FLT3 ITD Myeloproliferative Disease into a Rapid, Spontaneous, and Fully Penetrant Acute Myeloid Leukemia	Leighton Grimes	SDY1099	27016502	GSE70235	BM_Csf1r-negative GMP	SRR2079135	GSM1721130	Csf1r-negative GMP (Csf1r- control) Bulk RNA Seq 18Rosa-	Lin- CD117+ Sca1- CD16/32+ CD34+ CD115- Gfi1-IRES-Venus-negative (Csf1r- control)	C57BL/6	637	534	584	624	806	636	618	691	700	712
Brain	 Granulocyte Macrophage Progenitor (GMP)	Mus musculus	DNMT3A Haploinsufficiency Transforms FLT3 ITD Myeloproliferative Disease into a Rapid, Spontaneous, and Fully Penetrant Acute Myeloid Leukemia	Leighton Grimes	SDY1099	27016502	GSE70235	BM_Csf1r-negative GMP	SRR2079136	GSM1721131	Csf1r-negative GMP ROSA-rtTA-M2-heterozygous G3-Gfi1-IRES-Venus-dim Bulk RNA Seq	Lin- CD117+ Sca1- CD16/32+ CD34+ CD115- ROSArtTA-M2-heterozygous Gfi1-IRES-Venus-dim	C57BL/6	661	536	591	666	804	655	616	708	716	723
Brain	 Granulocyte Macrophage Progenitor (GMP)	Mus musculus	DNMT3A Haploinsufficiency Transforms FLT3 ITD Myeloproliferative Disease into a Rapid, Spontaneous, and Fully Penetrant Acute Myeloid Leukemia	Leighton Grimes	SDY1099	27016502	GSE70235	BM_Csf1r-negative GMP	SRR2079137	GSM1721132	Csf1r-negative GMP ROSA-rtTA-M2-heterozygous G3-Gfi1-IRES-Venus-bright Bulk RNA Seq	Lin- CD117+ Sca1- CD16/32+ CD34+ CD115- ROSArtTA-M2-heterozygous Gfi1-IRES-Venus-bright	C57BL/6	667	546	583	628	807	645	589	707	716	703
Brain	 Granulocyte Macrophage Progenitor (GMP)	Mus musculus	DNMT3A Haploinsufficiency Transforms FLT3 ITD Myeloproliferative Disease into a Rapid, Spontaneous, and Fully Penetrant Acute Myeloid Leukemia	Leighton Grimes	SDY1099	27016502	GSE70235	BM_Csf1r-negative GMP	SRR2079138	GSM1721133	Csf1r-negative GMP ROSA-rtTA-M2-homozygous G3-Gfi1-IRES-Venus-bright Bulk RNA Seq	Lin- CD117+ Sca1- CD16/32+ CD34+ CD115- ROSArtTA-M2-homozygous Gfi1-IRES-Venus-bright	C57BL/6	648	544	577	616	812	636	591	688	707	700
Brain	 Granulocyte Macrophage Progenitor (GMP)	Mus musculus	DNMT3A Haploinsufficiency Transforms FLT3 ITD Myeloproliferative Disease into a Rapid, Spontaneous, and Fully Penetrant Acute Myeloid Leukemia	Leighton Grimes	SDY1099	27016502	GSE70235	BM_Csf1r-positive GMP	SRR2079139	GSM1721134	Csf1r-positive GMP (Csf1r+ control) Bulk RNA Seq CAG-14914	Lin- CD117+ Sca1- CD16/32+ CD34+ CD115+ Gfi1-IRES-Venus-negative (Csf1r+ control)	C57BL/6	626	564	550	541	741	618	611	648	707	699
Brain	 Granulocyte Macrophage Progenitor (GMP)	Mus musculus	DNMT3A Haploinsufficiency Transforms FLT3 ITD Myeloproliferative Disease into a Rapid, Spontaneous, and Fully Penetrant Acute Myeloid Leukemia	Leighton Grimes	SDY1099	27016502	GSE70235	BM_Csf1r-positive GMP	SRR2079140	GSM1721135	Csf1r-positive GMP (Csf1r+ control) Bulk RNA Seq 17Rosa-	Lin- CD117+ Sca1- CD16/32+ CD34+ CD115+ Gfi1-IRES-Venus-negative (Csf1r+ control)	C57BL/6	594	538	552	581	763	604	593	633	694	676
Brain	 Granulocyte Macrophage Progenitor (GMP)	Mus musculus	DNMT3A Haploinsufficiency Transforms FLT3 ITD Myeloproliferative Disease into a Rapid, Spontaneous, and Fully Penetrant Acute Myeloid Leukemia	Leighton Grimes	SDY1099	27016502	GSE70235	BM_Csf1r-positive GMP	SRR2079141	GSM1721136	Csf1r-positive GMP ROSA-rtTA-M2-heterozygous G3-Gfi1-IRES-Venus-dim Bulk RNA Seq	Lin- CD117+ Sca1- CD16/32+ CD34+ CD115+ ROSArtTA-M2-heterozygous Gfi1-IRES-Venus-dim	C57BL/6	639	539	571	643	795	624	609	673	712	717
Brain	 Granulocyte Macrophage Progenitor (GMP)	Mus musculus	DNMT3A Haploinsufficiency Transforms FLT3 ITD Myeloproliferative Disease into a Rapid, Spontaneous, and Fully Penetrant Acute Myeloid Leukemia	Leighton Grimes	SDY1099	27016502	GSE70235	BM_Csf1r-positive GMP	SRR2079142	GSM1721137	Csf1r-positive GMP ROSA-rtTA-M2-heterozygous G3-Gfi1-IRES-Venus-bright Bulk RNA Seq	Lin- CD117+ Sca1- CD16/32+ CD34+ CD115+ ROSArtTA-M2-heterozygous Gfi1-IRES-Venus-bright	C57BL/6	647	543	576	650	814	642	585	686	734	705
Brain	 Granulocyte Macrophage Progenitor (GMP)	Mus musculus	DNMT3A Haploinsufficiency Transforms FLT3 ITD Myeloproliferative Disease into a Rapid, Spontaneous, and Fully Penetrant Acute Myeloid Leukemia	Leighton Grimes	SDY1099	27016502	GSE70235	BM_Csf1r-positive GMP	SRR2079143	GSM1721138	Csf1r-positive GMP ROSA-rtTA-M2-homozygous G3-Gfi1-IRES-Venus-bright Bulk RNA Seq	Lin- CD117+ Sca1- CD16/32+ CD34+ CD115+ ROSArtTA-M2-homozygous Gfi1-IRES-Venus-bright	C57BL/6	635	520	558	603	823	622	571	668	708	677
Brain	 Lineage-negative Sca1-positive c-Kit-positive (LSK)	Mus musculus	DNMT3A Haploinsufficiency Transforms FLT3 ITD Myeloproliferative Disease into a Rapid, Spontaneous, and Fully Penetrant Acute Myeloid Leukemia	Leighton Grimes	SDY1099	27016502	GSE70235	BM_LSK	SRR2079144	GSM1721139	Lineage-negative Sca1-positive c-Kit-positive (LSK) Bulk RNA Seq	Lin- CD117+ Sca1+ (LSK)	C57BL/6	745	582	629	647	816	710	795	733	721	781
Brain	 Common Myeloid Progenitor (CMP)	Mus musculus	DNMT3A Haploinsufficiency Transforms FLT3 ITD Myeloproliferative Disease into a Rapid, Spontaneous, and Fully Penetrant Acute Myeloid Leukemia	Leighton Grimes	SDY1099	27016502	GSE70235	BM_CMP	SRR2079145	GSM1721140	Common Myeloid Progenitor (CMP) Bulk RNA Seq	Lin- CD117+ Sca1- CD16/32-intermediate CD34-intermediate (CMP)	C57BL/6	707	580	594	617	828	657	680	686	732	733
Brain	 Granulocyte Macrophage Progenitor (GMP)	Mus musculus	DNMT3A Haploinsufficiency Transforms FLT3 ITD Myeloproliferative Disease into a Rapid, Spontaneous, and Fully Penetrant Acute Myeloid Leukemia	Leighton Grimes	SDY1099	27016502	GSE70235	BM_GMP	SRR2079146	GSM1721141	Granulocyte Macrophage Progenitor (GMP) Bulk RNA Seq	Lin- CD117+ Sca1- CD16/32+ CD34+	C57BL/6	689	563	595	618	815	610	641	658	703	709
Brain	 Granulocyte Macrophage Progenitor (GMP)	Mus musculus	DNMT3A Haploinsufficiency Transforms FLT3 ITD Myeloproliferative Disease into a Rapid, Spontaneous, and Fully Penetrant Acute Myeloid Leukemia	Leighton Grimes	SDY1099	27016502	GSE70235	BM_Irf8-/-GMP	SRR2079147	GSM1721142	Irf8-/- GMP Bulk RNA Seq	Lin- CD117+ Sca1- CD16/32+ CD34+ Irf8-/-	C57BL/6	648	527	563	582	821	600	590	638	689	695
Brain	 Granulocyte Macrophage Progenitor (GMP)	Mus musculus	DNMT3A Haploinsufficiency Transforms FLT3 ITD Myeloproliferative Disease into a Rapid, Spontaneous, and Fully Penetrant Acute Myeloid Leukemia	Leighton Grimes	SDY1099	27016502	GSE70235	BM_Gfi1-/- GMP	SRR2079148	GSM1721143	Gfi1-/- GMP Bulk RNA Seq	Lin- CD117+ Sca1- CD16/32+ CD34+ Gfi1-/-	C57BL/6	722	569	567	620	806	668	663	681	736	739
Lung	Lung adenocarcinoma lymph node metastasis 	Mus musculus	An Arntl2-Driven Secretome Enables Lung Adenocarcinoma Metastatic Self-Sufficiency	Monte Winslow	SDY1064	27150038	GSE72942	shControl_482N1 knockdown with shLuciferase	SRR2352576	GSM1875035	482N1 shLuciferase rep1	482N1 lymph node metastasis-derived cell line knockdown with control shLuciferase, rep1	Kras LSL-G12D/+ ;Trp53 flox/flox in 129S1/SvlmJ	756	694	760	428	719	609	961	715	679	709
Lung	Lung adenocarcinoma lymph node metastasis 	Mus musculus	An Arntl2-Driven Secretome Enables Lung Adenocarcinoma Metastatic Self-Sufficiency	Monte Winslow	SDY1064	27150038	GSE72943	shControl_482N1 knockdown with shLuciferase	SRR2352577	GSM1875036	482N1 shLuciferase rep2	482N1 lymph node metastasis-derived cell line knockdown with control shLuciferase, rep2	Kras LSL-G12D/+ ;Trp53 flox/flox in 129S1/SvlmJ	758	694	771	423	710	617	956	714	693	702
Lung	Lung adenocarcinoma lymph node metastasis 	Mus musculus	An Arntl2-Driven Secretome Enables Lung Adenocarcinoma Metastatic Self-Sufficiency	Monte Winslow	SDY1064	27150038	GSE72944	shArntl2_482N1 knockdown with shArntl2	SRR2352578	GSM1875037	482N1 shArntl2 #1 rep1	482N1 lymph node metastasis-derived cell line knockdown with control shArntl2, clone1, rep1	Kras LSL-G12D/+ ;Trp53 flox/flox in 129S1/SvlmJ	765	717	757	392	741	613	975	730	682	708
Lung	Lung adenocarcinoma lymph node metastasis 	Mus musculus	An Arntl2-Driven Secretome Enables Lung Adenocarcinoma Metastatic Self-Sufficiency	Monte Winslow	SDY1064	27150038	GSE72945	shArntl2_482N1 knockdown with shArntl2	SRR2352579	GSM1875038	482N1 shArntl2 #1 rep2	482N1 lymph node metastasis-derived cell line knockdown with control shArntl2, clone1, rep2	Kras LSL-G12D/+ ;Trp53 flox/flox in 129S1/SvlmJ	769	780	778	387	729	623	982	731	690	719
Lung	Lung adenocarcinoma lymph node metastasis 	Mus musculus	An Arntl2-Driven Secretome Enables Lung Adenocarcinoma Metastatic Self-Sufficiency	Monte Winslow	SDY1064	27150038	GSE72946	shArntl2_482N1 knockdown with shArntl2	SRR2352580	GSM1875039	482N1 shArntl2 #2 rep1	482N1 lymph node metastasis-derived cell line knockdown with control shArntl2, clone2, rep1	Kras LSL-G12D/+ ;Trp53 flox/flox in 129S1/SvlmJ	749	690	757	431	716	611	948	711	683	706
Lung	Lung adenocarcinoma lymph node metastasis 	Mus musculus	An Arntl2-Driven Secretome Enables Lung Adenocarcinoma Metastatic Self-Sufficiency	Monte Winslow	SDY1064	27150038	GSE72947	shArntl2_482N1 knockdown with shArntl2	SRR2352581	GSM1875040	482N1 shArntl2 #2 rep2	482N1 lymph node metastasis-derived cell line knockdown with control shArntl2, clone2, rep2	Kras LSL-G12D/+ ;Trp53 flox/flox in 129S1/SvlmJ	747	690	778	441	719	607	940	712	674	714
Brain	ckit+ splenocytes	Mus musculus	DNMT3A Haploinsufficiency Transforms FLT3 ITD Myeloproliferative Disease into a Rapid, Spontaneous, and Fully Penetrant Acute Myeloid Leukemia	Leighton Grimes	SDY1099	27016502	GSE77846	mus_AML_bulk splenocytes	SRR3162396	GSM2060312	8303 Flt3ITD/ITD,Dnmt3afl/- MxCre AML	AML mice with Flt3 ITD/ITD; Dnmt3a fl/- MxCre mice, bulk RNA from ckit+ splenocytes	C57BL/6-Ly5.2 (CD45.2)	633	548	654	625	701	566	645	660	620	616
Brain	ckit+ splenocytes	Mus musculus	DNMT3A Haploinsufficiency Transforms FLT3 ITD Myeloproliferative Disease into a Rapid, Spontaneous, and Fully Penetrant Acute Myeloid Leukemia	Leighton Grimes	SDY1099	27016502	GSE77846	mus_AML_bulk splenocytes	SRR3162397	GSM2060313	9301 Flt3ITD/ITD,Dnmt3afl/- MxCre AML	AML mice with Flt3 ITD/ITD; Dnmt3a fl/- MxCre mice, bulk RNA from ckit+ splenocytes	C57BL/6-Ly5.2 (CD45.2)	604	515	625	596	617	548	655	632	631	610
Brain	ckit+ splenocytes	Mus musculus	DNMT3A Haploinsufficiency Transforms FLT3 ITD Myeloproliferative Disease into a Rapid, Spontaneous, and Fully Penetrant Acute Myeloid Leukemia	Leighton Grimes	SDY1099	27016502	GSE77846	mus_AML_bulk splenocytes	SRR3162398	GSM2060314	9797 Flt3ITD/ITD,Dnmt3afl/- MxCre AML	AML mice with Flt3 ITD/ITD; Dnmt3a fl/- MxCre mice, bulk RNA from ckit+ splenocytes	C57BL/6-Ly5.2 (CD45.2)	587	559	615	576	546	562	671	623	649	615
Brain	ckit+ splenocytes	Mus musculus	DNMT3A Haploinsufficiency Transforms FLT3 ITD Myeloproliferative Disease into a Rapid, Spontaneous, and Fully Penetrant Acute Myeloid Leukemia	Leighton Grimes	SDY1099	27016502	GSE77846	mus_MPN_control_bulk splenocytes	SRR3162399	GSM2060315	9796 Flt3ITD/ITD,Dnmt3afl/fl MPN	mice with myeloproliferative neoplasma, Flt3 ITD/ITD; Dnmt3a fl/fl mice, bulk RNA from ckit+ splenocytes	C57BL/6-Ly5.2 (CD45.2)	537	518	630	581	631	509	557	588	606	586
Brain	ckit+ splenocytes	Mus musculus	DNMT3A Haploinsufficiency Transforms FLT3 ITD Myeloproliferative Disease into a Rapid, Spontaneous, and Fully Penetrant Acute Myeloid Leukemia	Leighton Grimes	SDY1099	27016502	GSE77846	mus_MPN_control_bulk splenocytes	SRR3162400	GSM2060316	9798 Flt3ITD/ITD,Dnmt3afl/fl MPN	mice with myeloproliferative neoplasma, Flt3 ITD/ITD; Dnmt3a fl/fl mice, bulk RNA from ckit+ splenocytes	C57BL/6-Ly5.2 (CD45.2)	549	522	631	579	635	500	575	592	612	596
Brain	ckit+ splenocytes	Mus musculus	DNMT3A Haploinsufficiency Transforms FLT3 ITD Myeloproliferative Disease into a Rapid, Spontaneous, and Fully Penetrant Acute Myeloid Leukemia	Leighton Grimes	SDY1099	27016502	GSE77846	mus_MPN_control_bulk splenocytes	SRR3162401	GSM2060317	9927 Flt3ITD/ITD,Dnmt3afl/fl MPN	mice with myeloproliferative neoplasma, Flt3 ITD/ITD; Dnmt3a fl/fl mice, bulk RNA from ckit+ splenocytes	C57BL/6-Ly5.2 (CD45.2)	500	458	628	567	671	475	516	586	569	572
Brain	HSPC-like-3 of ckit+ splenocytes	Mus musculus	DNMT3A Haploinsufficiency Transforms FLT3 ITD Myeloproliferative Disease into a Rapid, Spontaneous, and Fully Penetrant Acute Myeloid Leukemia	Leighton Grimes	SDY1099	27016502	GSE77847	mus_AML_single splenocyte Cell	SRR3162402	GSM2060320	Cell1-A1 cKit+ Flt3ITD/ITD,Dnmt3afl/- MxCre  AML-1	AML mice with Flt3 ITD/ITD; Dnmt3a fl/- MxCre mice, single cell  RNA from ckit+ splenocytes	C57BL/6-Ly5.2 (CD45.2)	711	540	260	393	768	687	701	617	731	790
Brain	HSPC-like-4 of ckit+ splenocytes	Mus musculus	DNMT3A Haploinsufficiency Transforms FLT3 ITD Myeloproliferative Disease into a Rapid, Spontaneous, and Fully Penetrant Acute Myeloid Leukemia	Leighton Grimes	SDY1099	27016502	GSE77847	mus_AML_single splenocyte Cell	SRR3162403	GSM2060321	Cell10-B3 cKit+ Flt3ITD/ITD,Dnmt3afl/- MxCre  AML-1	AML mice with Flt3 ITD/ITD; Dnmt3a fl/- MxCre mice, single cell  RNA from ckit+ splenocytes	C57BL/6-Ly5.2 (CD45.2)	769	521	66	392	772	713	669	605	734	789
Brain	Macrophage/Dendritic Precur. of ckit+ splenocytes	Mus musculus	DNMT3A Haploinsufficiency Transforms FLT3 ITD Myeloproliferative Disease into a Rapid, Spontaneous, and Fully Penetrant Acute Myeloid Leukemia	Leighton Grimes	SDY1099	27016502	GSE77847	mus_AML_single splenocyte Cell	SRR3162404	GSM2060322	Cell11-E3 cKit+ Flt3ITD/ITD,Dnmt3afl/- MxCre  AML-1	AML mice with Flt3 ITD/ITD; Dnmt3a fl/- MxCre mice, single cell  RNA from ckit+ splenocytes	C57BL/6-Ly5.2 (CD45.2)	666	827	57	440	515	715	669	550	761	785
Brain	HSPC-like-1 of ckit+ splenocytes	Mus musculus	DNMT3A Haploinsufficiency Transforms FLT3 ITD Myeloproliferative Disease into a Rapid, Spontaneous, and Fully Penetrant Acute Myeloid Leukemia	Leighton Grimes	SDY1099	27016502	GSE77847	mus_AML_single splenocyte Cell	SRR3162405	GSM2060323	Cell12-F3 cKit+ Flt3ITD/ITD,Dnmt3afl/- MxCre  AML-1	AML mice with Flt3 ITD/ITD; Dnmt3a fl/- MxCre mice, single cell  RNA from ckit+ splenocytes	C57BL/6-Ly5.2 (CD45.2)	746	531	62	445	960	730	704	624	744	811
Brain	HSPC-like-2 of ckit+ splenocytes	Mus musculus	DNMT3A Haploinsufficiency Transforms FLT3 ITD Myeloproliferative Disease into a Rapid, Spontaneous, and Fully Penetrant Acute Myeloid Leukemia	Leighton Grimes	SDY1099	27016502	GSE77847	mus_AML_single splenocyte Cell	SRR3162406	GSM2060324	Cell13-H3 cKit+ Flt3ITD/ITD,Dnmt3afl/- MxCre  AML-1	AML mice with Flt3 ITD/ITD; Dnmt3a fl/- MxCre mice, single cell  RNA from ckit+ splenocytes	C57BL/6-Ly5.2 (CD45.2)	674	583	224	483	751	753	679	582	758	777
Brain	HSPC-like-4 of ckit+ splenocytes	Mus musculus	DNMT3A Haploinsufficiency Transforms FLT3 ITD Myeloproliferative Disease into a Rapid, Spontaneous, and Fully Penetrant Acute Myeloid Leukemia	Leighton Grimes	SDY1099	27016502	GSE77847	mus_AML_single splenocyte Cell	SRR3162407	GSM2060325	Cell14-B4 cKit+ Flt3ITD/ITD,Dnmt3afl/- MxCre  AML-1	AML mice with Flt3 ITD/ITD; Dnmt3a fl/- MxCre mice, single cell  RNA from ckit+ splenocytes	C57BL/6-Ly5.2 (CD45.2)	700	584	187	445	771	718	745	638	742	770
