Mus_GeneID	Mus_Gene	Homo_GeneID	Homo_Gene
14367	Fzd5	7855	FZD5
20908	Stx3	6809	STX3
320438	Alg6	29929	ALG6
76561	Snx7	51375	SNX7
60532	Wtap	9589	WTAP
81630	Zbtb22	9278	ZBTB22
258650	Olfr444	135941	OR2A14
258649	Olfr441	135941	OR2A14
258648	Olfr237-ps1	135941	OR2A14
109205	Sobp	55084	SOBP
57811	Rgr	5995	RGR
213773	Tbl3	10607	TBL3
24111	Uts2	10911	UTS2
80294	Pofut2	23275	POFUT2
57230	Sap30bp	29115	SAP30BP
68523	Ciao2b	51647	CIAO2B
330323	Mindy4	84182	MINDY4
66294	Fam3a	60343	FAM3A
19200	Pstpip1	9051	PSTPIP1
76773	Wdyhv1	55093	WDYHV1
193385	Ripor2	9750	RIPOR2
216134	Pdxk	8566	PDXK
215378	Brinp3	339479	BRINP3
11496	Adam22	53616	ADAM22
70456	Mpc2	25874	MPC2
215751	Ginm1	116254	GINM1
27217	Mixl1	83881	MIXL1
211446	Exoc3	11336	EXOC3
12192	Zfp36l1	677	ZFP36L1
16848	Lfng	3955	LFNG
230162	Zfp189	7743	ZNF189
22022	Tpst2	8459	TPST2
26557	Homer2	9455	HOMER2
237213	Glra2	2742	GLRA2
258334	Olfr1396	285659	OR2V2
272411	B3gnt6	192134	B3GNT6
240028	Lnpep	4012	LNPEP
29808	Mga	23269	MGA
170676	Peg10	23089	PEG10
73086	Rps6ka5	9252	RPS6KA5
224897	Dpp9	91039	DPP9
17192	Mbd3	53615	MBD3
66366	Ergic3	51614	ERGIC3
233902	Fbxl19	54620	FBXL19
14842	Gsx1	219409	GSX1
227624	Rabl6	55684	RABL6
56220	Zfp386	162655	ZNF519
12345	Capzb	832	CAPZB
14079	Fabp2	2169	FABP2
18324	Olfr26	283159	OR8D1
258433	Olfr933	283159	OR8D1
66165	Bccip	56647	BCCIP
67220	Plekho1	51177	PLEKHO1
12716	Ckmt1	548596	CKMT1A
12716	Ckmt1	1159	CKMT1B
15203	Heph	9843	HEPH
246730	Oas1a	4938	OAS1
23960	Oas1g	4938	OAS1
14630	Gclm	2730	GCLM
57750	Wdr12	55759	WDR12
432779	Lrrc14b	389257	LRRC14B
320116	Fndc9	408263	FNDC9
72039	Mccc1	56922	MCCC1
57390	Psors1c2	170680	PSORS1C2
11564	Adsl	158	ADSL
71799	Ptcd1	100526740	ATP5MF-PTCD1
18245	Oaz1	4946	OAZ1
64540	Tspan4	7106	TSPAN4
56760	Clec1b	51266	CLEC1B
432940	Otulin	90268	OTULIN
74222	Sept14	346288	SEPT14
11449	Chrng	1146	CHRNG
12443	Ccnd1	595	CCND1
71653	Shtn1	57698	SHTN1
233064	Wdr62	284403	WDR62
12555	Cdh15	1013	CDH15
71693	Colec11	78989	COLEC11
71983	Tmco6	55374	TMCO6
67484	Eepd1	80820	EEPD1
70356	St13	6767	ST13
381759	Wee2	494551	WEE2
268822	Adck5	203054	ADCK5
18647	Cdk14	5218	CDK14
18223	Numbl	9253	NUMBL
20021	Polr2c	5432	POLR2C
67184	Ndufa13	51079	NDUFA13
20204	Prrx2	51450	PRRX2
21357	Tarbp2	6895	TARBP2
74919	Slc35f6	54978	SLC35F6
278304	Zfp385c	100507656	LOC100507656
100504285	Abhd12b	145447	ABHD12B
11448	Chrne	1145	CHRNE
11858	Rnd2	8153	RND2
231912	Katnal1	84056	KATNAL1
73284	Ddit4l	115265	DDIT4L
19013	Ppara	5465	PPARA
64685	Nmi	9111	NMI
18508	Pax6	5080	PAX6
70118	Srrd	402055	SRRD
67035	Dnajb4	11080	DNAJB4
19324	Rab1a	5861	RAB1A
20129	Rptn	126638	RPTN
121022	Mrps6	64968	MRPS6
224250	Cldnd1	56650	CLDND1
238803	Zfp366	167465	ZNF366
258961	Olfr631	390059	OR51M1
18432	Mybbp1a	10514	MYBBP1A
330286	D630045J12Rik	57670	KIAA1549
22088	Tsg101	7251	TSG101
625249	Gpx4	2879	GPX4
246133	Kcne2	9992	KCNE2
29813	Zfp385a	25946	ZNF385A
627191	Syndig1l	646658	SYNDIG1L
11909	Atf2	1386	ATF2
217684	Susd6	9766	SUSD6
17355	Aff1	4299	AFF1
18551	Pcsk4	54760	PCSK4
72008	Zfyve19	84936	ZFYVE19
234373	Sugp2	10147	SUGP2
66797	Cntnap2	26047	CNTNAP2
16432	Itm2b	9445	ITM2B
22334	Vdac2	7417	VDAC2
13076	Cyp1a1	1543	CYP1A1
241073	Dytn	391475	DYTN
216439	Agap2	116986	AGAP2
11643	Akap4	8852	AKAP4
55961	Slc13a1	6561	SLC13A1
18682	Phkg1	5260	PHKG1
68092	Ncbp2	22916	NCBP2
18101	Nmbr	4829	NMBR
67123	Ubap1	51271	UBAP1
24108	Ubd	10537	UBD
74287	Kcmf1	56888	KCMF1
241116	Cfap65	255101	CFAP65
329274	Fam163a	148753	FAM163A
15425	Hoxc6	3223	HOXC6
57911	Gsdma	284110	GSDMA
210029	Metrnl	284207	METRNL
75623	Tex30	93081	TEX30
71703	Armcx3	51566	ARMCX3
213234	Zbbx	79740	ZBBX
67845	Rnf115	27246	RNF115
258640	Olfr152	10798	OR5I1
217695	Zfyve1	53349	ZFYVE1
69860	Eif1ad	84285	EIF1AD
18631	Pex11a	8800	PEX11A
13644	Efs	10278	EFS
208922	Cpeb3	22849	CPEB3
13805	Eng	2022	ENG
11484	Aspa	443	ASPA
217356	Tmc8	147138	TMC8
212555	Pqlc2	54896	PQLC2
14049	Eya2	2139	EYA2
16985	Lsp1	4046	LSP1
66684	Tceal8	90843	TCEAL8
213012	Abhd10	55347	ABHD10
271564	Vps13a	23230	VPS13A
24113	Vax2	25806	VAX2
235627	Nbeal2	23218	NBEAL2
234814	Mthfsd	64779	MTHFSD
21818	Tgm3	7053	TGM3
13170	Dbp	1628	DBP
58202	Nelfb	25920	NELFB
224814	Abcc10	89845	ABCC10
72522	Atxn7l2	127002	ATXN7L2
226115	Opalin	93377	OPALIN
18772	Pkp1	5317	PKP1
12236	Bub1b	701	BUB1B
105855	Nckap1l	3071	NCKAP1L
30927	Snai3	333929	SNAI3
14672	Gna11	2767	GNA11
22640	Zfp1	162239	ZFP1
269870	Zfp446	55663	ZNF446
217463	Snx13	23161	SNX13
11465	Actg1	71	ACTG1
217593	Slc25a21	89874	SLC25A21
22272	Uqcrq	27089	UQCRQ
12748	Clk2	1196	CLK2
50914	Olig1	116448	OLIG1
211007	Trim41	90933	TRIM41
77647	Trat1	50852	TRAT1
26556	Homer1	9456	HOMER1
18007	Neo1	4756	NEO1
69878	Snrpf	6636	SNRPF
333883	Cd59b	966	CD59
280408	Rilp	83547	RILP
226075	Glis3	169792	GLIS3
381974	Mrgprg	386746	MRGPRG
67009	Ttc23	64927	TTC23
83557	Lin28a	79727	LIN28A
69329	Cfap206	154313	CFAP206
208154	Btla	151888	BTLA
72654	Ccdc12	151903	CCDC12
102634030	Gm31714	90592	ZNF700
628709	Gm10324	90592	ZNF700
665738	Gm7762	90592	ZNF700
100502880	Gm19428	90592	ZNF700
74841	Usp38	84640	USP38
14268	Fn1	2335	FN1
22354	Vipr1	7433	VIPR1
74485	Lrrc71	149499	LRRC71
70020	Ino80b	83444	INO80B
259279	Tubgcp3	10426	TUBGCP3
101809	Spred3	399473	SPRED3
19344	Rab5b	5869	RAB5B
26420	Mapk9	5601	MAPK9
170460	Stard5	80765	STARD5
66260	Tmem54	113452	TMEM54
229004	Gmeb2	26205	GMEB2
102093	Phkb	5257	PHKB
94191	Adarb2	105	ADARB2
74843	Mss51	118490	MSS51
16204	Fabp6	2172	FABP6
66114	Dnajc30	84277	DNAJC30
14373	G0s2	50486	G0S2
319180	Hist1h2bf	8339	HIST1H2BG
57247	Zfp276	92822	ZNF276
11535	Adm	133	ADM
232670	Tspan33	340348	TSPAN33
240913	Adamts4	9507	ADAMTS4
225471	Ticam2	353376	TICAM2
11546	Parp2	10038	PARP2
74840	Manf	7873	MANF
16136	Igll1	3543	IGLL1
16136	Igll1	100423062	IGLL5
19246	Ptpn1	5770	PTPN1
12831	Col5a1	1289	COL5A1
51812	Mcrs1	10445	MCRS1
72844	Kctd17	79734	KCTD17
102115	Dohh	83475	DOHH
80889	Tlnrd1	59274	TLNRD1
382034	Gse1	23199	GSE1
83410	Cstf2t	23283	CSTF2T
20451	St8sia3	51046	ST8SIA3
54613	St3gal6	10402	ST3GAL6
16624	Klk1b8	354	KLK3
18050	Klk1b3	354	KLK3
16617	Klk1b24	354	KLK3
16622	Klk1b5	354	KLK3
16612	Klk1	354	KLK3
16615	Klk1b16	354	KLK3
16619	Klk1b27	354	KLK3
13648	Klk1b9	354	KLK3
16616	Klk1b21	354	KLK3
16618	Klk1b26	354	KLK3
18048	Klk1b4	354	KLK3
16613	Klk1b11	354	KLK3
16623	Klk1b1	354	KLK3
13646	Klk1b22	354	KLK3
23970	Pacsin2	11252	PACSIN2
108911	Rcc2	55920	RCC2
13419	Dnase1	1773	DNASE1
381352	Mamdc4	158056	MAMDC4
76582	Ipo11	51194	IPO11
52466	Slc46a1	113235	SLC46A1
22413	Wnt2	7472	WNT2
11804	Aplp2	334	APLP2
110075	Bmp3	651	BMP3
69790	Med30	90390	MED30
640543	Tgm7	116179	TGM7
69091	Vps26b	112936	VPS26B
83485	Ngrn	51335	NGRN
52653	Nudcd2	134492	NUDCD2
75416	Nop14	8602	NOP14
66748	Erich2	285141	ERICH2
52551	Sgta	6449	SGTA
56703	Pigo	84720	PIGO
319239	Npsr1	387129	NPSR1
18424	Otx2	5015	OTX2
68565	Mrps18a	55168	MRPS18A
108075	Ltbp4	8425	LTBP4
16011	Igfbp5	3488	IGFBP5
103554	Psme4	23198	PSME4
18162	Npr3	4883	NPR3
238880	Actbl2	345651	ACTBL2
22242	Umod	7369	UMOD
77626	Smpd4	55627	SMPD4
69171	Cnppd1	27013	CNPPD1
212168	Zswim4	65249	ZSWIM4
227606	Tbpl2	387332	TBPL2
320095	6430550D23Rik	140873	C20orf173
76252	Atp6v0e2	155066	ATP6V0E2
74386	Rmi1	80010	RMI1
252864	Dusp15	128853	DUSP15
238276	Akap5	9495	AKAP5
269831	Tspan12	23554	TSPAN12
18578	Pde4b	5142	PDE4B
64660	Mrps24	64951	MRPS24
56508	Rapgef4	11069	RAPGEF4
19058	Ppp3r1	5534	PPP3R1
13012	Cst8	10047	CST8
78697	Pus7	54517	PUS7
68201	Ccdc34	91057	CCDC34
218544	Sgtb	54557	SGTB
15488	Hsd17b4	3295	HSD17B4
18440	P2rx6	9127	P2RX6
14912	Nkx6-2	84504	NKX6-2
213819	Casd1	64921	CASD1
76406	Tex45	374877	TEX45
109594	Lmo1	4004	LMO1
94067	Mrpl43	84545	MRPL43
329909	Tmem61	199964	TMEM61
67580	Lrrc18	474354	LRRC18
29864	Rnf11	26994	RNF11
72221	1700021F07Rik	128602	C20orf85
171170	Mbnl3	55796	MBNL3
243574	Kbtbd8	84541	KBTBD8
69306	Efcab9	285588	EFCAB9
54524	Syt6	148281	SYT6
18119	Nodal	4838	NODAL
19820	Rlim	51132	RLIM
70503	Ddo	8528	DDO
78249	Adgrf4	221393	ADGRF4
16554	Kif13b	23303	KIF13B
66822	Fbxo25	26260	FBXO25
102209	Snapc2	6618	SNAPC2
71810	Ranbp3	8498	RANBP3
20655	Sod1	6647	SOD1
224697	Adamts10	81794	ADAMTS10
386750	Slitrk3	22865	SLITRK3
19326	Rab11b	9230	RAB11B
18505	Pax3	5077	PAX3
233186	Siglecf	27181	SIGLEC8
83997	Slmap	7871	SLMAP
232441	Rerg	85004	RERG
57138	Slc12a5	57468	SLC12A5
65247	Asb1	51665	ASB1
243910	Nfkbid	84807	NFKBID
23832	Xcr1	2829	XCR1
18796	Plcb2	5330	PLCB2
93961	B3galt5	10317	B3GALT5
75642	Spata25	128497	SPATA25
319170	Hist1h2an	8969	HIST1H2AG
14747	Cmklr1	1240	CMKLR1
68393	Mogat1	116255	MOGAT1
93690	Gpr45	11250	GPR45
66055	Sf3b6	51639	SF3B6
22722	Zfp64	55734	ZFP64
17717	mt-Nd2	4536	ND2
100043684	Amy2a4	280	AMY2B
100043688	Amy2a2	280	AMY2B
100043686	Amy2a3	280	AMY2B
109959	Amy2a5	280	AMY2B
14726	Pdpn	10630	PDPN
69310	Pacrg	135138	PACRG
320256	Dlec1	9940	DLEC1
54351	Elp5	23587	ELP5
235312	C1qtnf5	114902	C1QTNF5
623474	Rad54b	25788	RAD54B
69459	Ubl7	84993	UBL7
227357	Espnl	339768	ESPNL
68566	Caly	50632	CALY
71911	Bdh1	622	BDH1
213054	Gabpb2	126626	GABPB2
14633	Gli2	2736	GLI2
320159	Togaram2	165186	TOGARAM2
19881	Rom1	6094	ROM1
11881	Arsb	411	ARSB
65973	Asph	444	ASPH
239667	Dip2b	57609	DIP2B
407790	Ndufa4l2	56901	NDUFA4L2
213541	Ythdf2	51441	YTHDF2
238831	Ppwd1	23398	PPWD1
11428	Aco1	48	ACO1
108653	Rimklb	57494	RIMKLB
387355	Tas2r130	50837	TAS2R7
22693	Zfp30	22835	ZFP30
497113	Rnase11	122651	RNASE11
66132	1110008L16Rik	9692	KIAA0391
320938	Tnpo3	23534	TNPO3
12715	Ckm	1158	CKM
12649	Chek1	1111	CHEK1
15567	Slc6a4	6532	SLC6A4
94190	Ophn1	4983	OPHN1
240756	Klhl12	59349	KLHL12
269336	Ccdc32	90416	CCDC32
67967	Pold3	10714	POLD3
12338	Capn6	827	CAPN6
235320	Zbtb16	7704	ZBTB16
12235	Bub1	699	BUB1
98238	Lrrc59	55379	LRRC59
74450	Pank2	80025	PANK2
53951	Gpatch11	253635	GPATCH11
20840	Stac	6769	STAC
227700	Sh3glb2	56904	SH3GLB2
16372	Irx2	153572	IRX2
56200	Ddx21	9188	DDX21
16646	Kpna1	3836	KPNA1
83486	Rbm5	10181	RBM5
13384	Mpp3	4356	MPP3
224860	Plcl2	23228	PLCL2
16950	Loxl3	84695	LOXL3
27403	Abca7	10347	ABCA7
20493	Slc10a1	6554	SLC10A1
13113	Cyp3a13	1551	CYP3A7
102640920	Pvrig	79037	PVRIG
233752	Insc	387755	INSC
110168	Gpr18	2841	GPR18
240892	Dusp27	92235	DUSP27
56294	Ptpn9	5780	PTPN9
67674	Trmt112	51504	TRMT112
67122	Nrarp	441478	NRARP
227656	Rexo4	57109	REXO4
11550	Adra1d	146	ADRA1D
227394	Slco4c1	353189	SLCO4C1
73261	1700037C18Rik	646174	C16orf90
12161	Bmp6	654	BMP6
114774	Pawr	5074	PAWR
75736	Bcl2l12	83596	BCL2L12
12311	Calcr	799	CALCR
97820	4833439L19Rik	57179	KIAA1191
66768	Pacrgl	133015	PACRGL
68774	Ms4a6d	64231	MS4A6A
71236	Rsph14	27156	RSPH14
14660	Gls	2744	GLS
245269	Nim1k	167359	NIM1K
22381	Tceal9	51186	TCEAL9
67382	Brd3	8019	BRD3
70840	Slc22a16	85413	SLC22A16
53417	Hif3a	64344	HIF3A
18125	Nos1	4842	NOS1
238377	Gpr68	8111	GPR68
353170	Txlng	55787	TXLNG
67530	Uqcrb	7381	UQCRB
23980	Pebp1	5037	PEBP1
320091	Ano4	121601	ANO4
71242	Spata24	202051	SPATA24
20088	Rps24	6229	RPS24
17181	Matn2	4147	MATN2
74180	Muc5b	727897	MUC5B
20216	Acsm3	6296	ACSM3
12767	Cxcr4	7852	CXCR4
66882	Bzw1	9689	BZW1
68837	Foxk2	3607	FOXK2
260301	Otos	150677	OTOS
241452	Dhrs9	10170	DHRS9
212517	Cfap44	55779	CFAP44
57319	Smpdl3a	10924	SMPDL3A
11819	Nr2f2	7026	NR2F2
17064	Cd93	22918	CD93
436059	Ces2h	8824	CES2
80795	Selenok	58515	SELENOK
52502	Carhsp1	23589	CARHSP1
14738	Gpr12	2835	GPR12
230753	Thrap3	9967	THRAP3
258246	Olfr594	119678	OR52E2
432479	4930404N11Rik	100128569	C19orf71
241391	Galnt5	11227	GALNT5
11727	Ang	283	ANG
56626	Poll	27343	POLL
104086	Cyp27a1	1593	CYP27A1
18607	Pdpk1	5170	PDPK1
66443	Tnfaip8l1	126282	TNFAIP8L1
68929	Mospd3	64598	MOSPD3
545136	Fam186b	84070	FAM186B
238680	Cntnap3	79937	CNTNAP3
66500	Slc30a7	148867	SLC30A7
270160	Rab39	54734	RAB39A
18792	Plau	5328	PLAU
12142	Prdm1	639	PRDM1
259100	Olfr666	390077	OR52N2
211429	Pla2g4b	100137049	PLA2G4B
209354	Eif2b1	1967	EIF2B1
320714	Trappc11	60684	TRAPPC11
74337	Palm3	342979	PALM3
338467	Morc3	23515	MORC3
20262	Stmn3	50861	STMN3
666528	Zfp541	84215	ZNF541
103677	Smg6	23293	SMG6
67563	Narfl	64428	CIAO3
22608	Ybx1	4904	YBX1
319885	Zcchc7	84186	ZCCHC7
320111	Prr18	285800	PRR18
12796	Camp	820	CAMP
16010	Igfbp4	3487	IGFBP4
72016	Tedc2	80178	TEDC2
170484	Nphs2	7827	NPHS2
68501	Nsmce2	286053	NSMCE2
269585	Zscan20	7579	ZSCAN20
56336	B4galt5	9334	B4GALT5
74694	Tbc1d30	23329	TBC1D30
241159	Neu4	129807	NEU4
319742	Mpzl3	196264	MPZL3
14904	Gtpbp1	9567	GTPBP1
69956	Ptcd3	55037	PTCD3
433899	Grxcr1	389207	GRXCR1
17690	Msi1	4440	MSI1
217935	Wdr60	55112	WDR60
15516	Hsp90ab1	3326	HSP90AB1
27176	Rpl7a	6130	RPL7A
81600	Chia1	27159	CHIA
328401	Rnase9	390443	RNASE9
27081	Zfp275	10838	ZNF275
13388	Dll1	28514	DLL1
11789	Apc	324	APC
110058	Syt17	51760	SYT17
15248	Hic1	3090	HIC1
12826	Col4a1	1282	COL4A1
73610	Zfp433	163059	ZNF433
102635315	Gm32687	163059	ZNF433
102636264	Gm33378	163059	ZNF433
226182	Taf5	6877	TAF5
68212	Tmbim4	51643	TMBIM4
57342	Parva	55742	PARVA
73744	Man2c1	4123	MAN2C1
67604	Get4	51608	GET4
23991	Cib1	10519	CIB1
68667	Trpm4	54795	TRPM4
14137	Fdft1	2222	FDFT1
66765	4933411K16Rik	414157	C10orf62
271786	Galnt13	114805	GALNT13
240334	Pcyox1l	78991	PCYOX1L
258618	Olfr355	138881	OR1L8
72287	Plekhf1	79156	PLEKHF1
226971	Plekhb2	55041	PLEKHB2
53311	Mybph	4608	MYBPH
17463	Psmd7	5713	PSMD7
54635	Pdgfc	56034	PDGFC
544817	Arhgap27	201176	ARHGAP27
71912	Jsrp1	126306	JSRP1
14661	Glud1	2746	GLUD1
58244	Stx6	10228	STX6
67555	Mgat4d	152586	MGAT4D
71151	Eri2	112479	ERI2
67770	Caap1	79886	CAAP1
245884	Fam71f2	346653	FAM71F2
56772	Mllt11	10962	MLLT11
71472	Usp19	10869	USP19
622645	Tmem200c	645369	TMEM200C
237890	Slfn14	342618	SLFN14
27428	Shroom3	57619	SHROOM3
327900	Ubtd2	92181	UBTD2
20849	Stat4	6775	STAT4
76737	Creld2	79174	CRELD2
103583	Fbxw11	23291	FBXW11
18241	Gpr143	4935	GPR143
75796	Cdyl2	124359	CDYL2
67549	Gpr89	653519	GPR89A
67549	Gpr89	51463	GPR89B
16002	Igf2	3481	IGF2
245684	Cnksr2	22866	CNKSR2
72097	2010300C02Rik	343990	KIAA1211L
71780	Isyna1	51477	ISYNA1
68165	Fdx1l	112812	FDX2
212728	Tarbp1	6894	TARBP1
20818	Srprb	58477	SRPRB
22762	Zfpm2	23414	ZFPM2
16825	Ldb1	8861	LDB1
54519	Apbb1ip	54518	APBB1IP
69606	Mtfmt	123263	MTFMT
56455	Dynll1	8655	DYNLL1
171209	Asic3	9311	ASIC3
20333	Sec22b	9554	SEC22B
17966	Nbr1	4077	NBR1
235542	Ppp2r3a	5523	PPP2R3A
233335	Synm	23336	SYNM
214189	Scgn	10590	SCGN
53860	Sept9	10801	SEPT9
19220	Ptgfr	5737	PTGFR
20197	S100a3	6274	S100A3
77318	Ankrd55	79722	ANKRD55
15932	Idua	3425	IDUA
51902	Rnf24	11237	RNF24
19708	Dpf2	5977	DPF2
67729	Mansc1	54682	MANSC1
332427	Lyg2	254773	LYG2
13478	Dpagt1	1798	DPAGT1
11682	Alk	238	ALK
29869	Ulk2	9706	ULK2
75823	Fam227b	196951	FAM227B
234776	Atmin	23300	ATMIN
228432	Ano3	63982	ANO3
20303	Ccl4	6351	CCL4
54384	Mtmr7	9108	MTMR7
74316	Isca2	122961	ISCA2
13349	Ackr1	2532	ACKR1
225392	Rell2	285613	RELL2
13860	Eps8	2059	EPS8
100502698	Rubcn	9711	RUBCN
97484	Cog8	84342	COG8
56748	Nfu1	27247	NFU1
67931	Serpini2	5276	SERPINI2
19714	Rev3l	5980	REV3L
213464	Rbbp5	5929	RBBP5
16822	Lcp2	3937	LCP2
12406	Serpinh1	871	SERPINH1
75570	Nhej1	79840	NHEJ1
170947	Myoz3	91977	MYOZ3
54486	Hpgds	27306	HPGDS
21677	Tead2	8463	TEAD2
14017	Evi2a	2123	EVI2A
16798	Lats1	9113	LATS1
57895	Ccdc126	90693	CCDC126
107569	Nt5c3	51251	NT5C3A
268465	Eme1	146956	EME1
68776	Taf11	6882	TAF11
68845	Pih1d1	55011	PIH1D1
329910	Acot11	26027	ACOT11
319415	Hs3st5	222537	HS3ST5
17967	Ncam1	4684	NCAM1
269774	Aak1	22848	AAK1
14365	Fzd3	7976	FZD3
69662	2310061I04Rik	221545	C6orf136
59042	Cope	11316	COPE
63913	Fam129a	116496	FAM129A
72018	Fundc1	139341	FUNDC1
16478	Jund	3727	JUND
57755	Dnajb7	150353	DNAJB7
68294	Mfsd10	10227	MFSD10
26367	Ceacam2	634	CEACAM1
26365	Ceacam1	634	CEACAM1
67397	Erp29	10961	ERP29
14766	Adgrg1	9289	ADGRG1
224440	Setd4	54093	SETD4
18675	Phex	5251	PHEX
56747	Sez6l	23544	SEZ6L
59091	Jph2	57158	JPH2
66179	Ogfod3	79701	OGFOD3
16648	Kpna3	3839	KPNA3
30956	Aass	10157	AASS
12122	Bid	637	BID
67902	Sumf2	25870	SUMF2
170759	Atp13a1	57130	ATP13A1
239759	Liph	200879	LIPH
108912	Cdca2	157313	CDCA2
18595	Pdgfra	5156	PDGFRA
20272	Scn7a	6332	SCN7A
213121	Ankrd35	148741	ANKRD35
353047	Plekhm1	9842	PLEKHM1
622434	Arhgef26	26084	ARHGEF26
237500	Tmtc3	160418	TMTC3
30056	Timm9	26520	TIMM9
72413	Kcnmb2	10242	KCNMB2
51960	Kctd18	130535	KCTD18
75292	Prkd3	23683	PRKD3
217847	Serpina10	51156	SERPINA10
108015	Chrnb4	1143	CHRNB4
26992	Brd7	29117	BRD7
100647	Upk3b	80761	UPK3B
15223	Foxj1	2302	FOXJ1
102774	Bbs4	585	BBS4
14427	Galr1	2587	GALR1
97827	Exd2	55218	EXD2
68955	Srrm4	84530	SRRM4
76088	Dock8	81704	DOCK8
11495	Adam2	2515	ADAM2
544792	Gsg1l2	644070	GSG1L2
52588	Tspan14	81619	TSPAN14
258846	Olfr1157	219437	OR5L1
108083	Pip4k2b	8396	PIP4K2B
71228	Dlg5	9231	DLG5
93760	Arid1a	8289	ARID1A
67063	Tmem246	84302	TMEM246
93790	Nipa2	81614	NIPA2
12769	Ccr9	10803	CCR9
619287	Rtl4	340595	RTL4
228730	Kiz	55857	KIZ
19365	Rad52	5893	RAD52
21411	Tcf20	6942	TCF20
65019	Rpl23	9349	RPL23
68327	Tsr3	115939	TSR3
12703	Socs1	8651	SOCS1
208228	Mob3a	126308	MOB3A
236293	Slc22a29	387601	SLC22A25
319800	Slc22a30	387601	SLC22A25
171405	Slc22a27	387601	SLC22A25
434674	Slc22a28	387601	SLC22A25
22258	Usp4	7375	USP4
27407	Abcf2	10061	ABCF2
77630	Prdm8	56978	PRDM8
21399	Tcea1	6917	TCEA1
30944	Zfp354c	30832	ZNF354C
14429	Galr3	8484	GALR3
330502	Zfp82	284406	ZFP82
12181	Bop1	23246	BOP1
19879	Slc22a8	9376	SLC22A8
71831	Iqcm	285423	IQCM
210789	Tbc1d4	9882	TBC1D4
75552	Paqr9	344838	PAQR9
76223	Agbl3	340351	AGBL3
19164	Psen1	5663	PSEN1
232341	Wnk1	65125	WNK1
432839	Gprin2	9721	GPRIN2
380702	Shisa6	388336	SHISA6
23983	Pcbp1	5093	PCBP1
67422	Dhdds	79947	DHDDS
227738	Lrsam1	90678	LRSAM1
19301	Pxmp2	5827	PXMP2
69743	Casz1	54897	CASZ1
56743	Lat2	7462	LAT2
52348	Vps37a	137492	VPS37A
240168	Rasgrp3	25780	RASGRP3
104362	Meig1	644890	MEIG1
230085	Phf24	23349	PHF24
319177	Hist1h2ba	255626	HIST1H2BA
67747	Ribc2	26150	RIBC2
73442	Hspa12a	259217	HSPA12A
14060	F13b	2165	F13B
244879	Npat	4863	NPAT
110595	Timp4	7079	TIMP4
104732	Tedc1	283643	TEDC1
328092	Dtd2	112487	DTD2
111174	Taar1	134864	TAAR1
620246	Gpr52	9293	GPR52
245902	Ccdc15	80071	CCDC15
27386	Npas3	64067	NPAS3
67905	Ppm1m	132160	PPM1M
68118	Atg101	60673	ATG101
76041	Ccdc125	202243	CCDC125
67300	Cltc	1213	CLTC
104836	Cbll1	79872	CBLL1
15163	Hcls1	3059	HCLS1
54376	Cacng3	10368	CACNG3
13537	Dusp2	1844	DUSP2
654498	Hhla1	10086	HHLA1
76156	Fam131b	9715	FAM131B
258270	Olfr448	393046	OR2A5
